week_start,week,CarWale,Cardekho,Cars24,MFC,MTV,OLX,Spinny
2024-12-29,29 Dec – 04 Jan 2025,36.0,28.3,16.5,0.3,1.4,2.4,15.0
2025-01-05,05 Jan – 11 Jan 2025,36.1,28.3,16.4,0.3,1.4,2.4,15.1
2025-01-12,12 Jan – 18 Jan 2025,36.8,29.0,15.9,0.3,1.4,2.4,14.3
2025-01-19,19 Jan – 25 Jan 2025,36.7,29.3,15.8,0.3,1.3,2.3,14.2
2025-01-26,26 Jan – 01 Feb 2025,36.7,29.1,16.1,0.3,1.2,2.3,14.3
2025-02-02,02 Feb – 08 Feb 2025,36.6,28.9,16.4,0.3,1.2,2.3,14.3
2025-02-09,09 Feb – 15 Feb 2025,36.5,28.8,16.2,0.3,1.2,2.2,14.7
2025-02-16,16 Feb – 22 Feb 2025,36.4,28.5,16.5,0.4,1.3,2.3,14.7
2025-02-23,23 Feb – 01 Mar 2025,36.1,28.7,16.5,0.3,1.2,2.3,14.8
2025-03-02,02 Mar – 08 Mar 2025,35.7,28.0,17.2,0.3,1.2,2.2,15.3
2025-03-09,09 Mar – 15 Mar 2025,35.8,27.7,17.0,0.3,1.3,2.3,15.6
2025-03-16,16 Mar – 22 Mar 2025,35.4,27.8,17.5,0.3,1.3,2.2,15.5
2025-03-23,23 Mar – 29 Mar 2025,35.5,27.4,17.3,0.3,1.4,2.3,15.8
2025-03-30,30 Mar – 05 Apr 2025,35.7,27.3,17.2,0.4,1.3,2.2,15.9
2025-04-06,06 Apr – 12 Apr 2025,35.9,27.4,17.3,0.3,1.3,2.2,15.5
2025-04-13,13 Apr – 19 Apr 2025,36.2,27.7,16.8,0.4,1.3,2.1,15.4
2025-04-20,20 Apr – 26 Apr 2025,34.5,26.4,17.0,0.3,1.3,2.1,18.4
2025-04-27,27 Apr – 03 May 2025,34.1,26.5,17.0,0.3,1.3,2.1,18.6
2025-05-04,04 May – 10 May 2025,35.0,26.4,17.4,0.3,1.3,2.1,17.4
2025-05-11,11 May – 17 May 2025,35.0,27.4,17.3,0.3,1.4,2.2,16.5
2025-05-18,18 May – 24 May 2025,35.6,27.2,16.9,0.3,1.3,2.1,16.6
2025-05-25,25 May – 31 May 2025,34.4,26.4,16.8,0.3,1.2,2.1,18.7
2025-06-01,01 Jun – 07 Jun 2025,34.7,26.6,16.3,0.3,1.3,2.0,18.7
2025-06-08,08 Jun – 14 Jun 2025,35.1,27.1,17.1,0.3,1.3,2.2,16.9
2025-06-15,15 Jun – 21 Jun 2025,35.1,27.1,17.1,0.3,1.4,2.2,16.9
2025-06-22,22 Jun – 28 Jun 2025,34.9,27.1,17.2,0.3,1.4,2.2,16.8
2025-06-29,29 Jun – 05 Jul 2025,34.3,26.8,18.0,0.3,1.3,2.3,16.9
2025-07-06,06 Jul – 12 Jul 2025,35.2,27.2,17.4,0.4,1.3,2.2,16.5
2025-07-13,13 Jul – 19 Jul 2025,35.7,27.5,16.9,0.4,1.3,2.0,16.2
2025-07-20,20 Jul – 26 Jul 2025,35.8,27.7,16.9,0.3,1.3,2.0,16.1
2025-07-27,27 Jul – 02 Aug 2025,35.6,27.5,17.2,0.3,1.2,2.0,16.2
2025-08-03,03 Aug – 09 Aug 2025,36.7,28.0,16.4,0.3,1.2,2.0,15.4
2025-08-10,10 Aug – 16 Aug 2025,36.9,28.4,16.2,0.3,1.2,2.0,14.9
2025-08-17,17 Aug – 23 Aug 2025,36.2,28.3,16.8,0.3,1.3,2.1,15.1
2025-08-24,24 Aug – 30 Aug 2025,36.1,28.5,17.0,0.3,1.2,2.0,15.0
2025-08-31,31 Aug – 06 Sep 2025,39.9,30.9,14.0,0.2,0.9,1.6,12.5
2025-09-07,07 Sep – 13 Sep 2025,39.2,31.7,14.3,0.2,0.9,1.6,12.2
2025-09-14,14 Sep – 20 Sep 2025,38.6,30.5,14.3,0.2,1.0,1.6,13.9
2025-09-21,21 Sep – 27 Sep 2025,40.3,32.9,12.4,0.2,1.0,1.3,12.0
2025-09-28,28 Sep – 04 Oct 2025,38.6,31.9,13.6,0.2,1.1,1.4,13.3
2025-10-05,05 Oct – 11 Oct 2025,39.5,31.7,14.1,0.2,1.0,1.4,12.1
2025-10-12,12 Oct – 18 Oct 2025,38.9,30.9,14.8,0.2,1.0,1.5,12.6
2025-10-19,19 Oct – 25 Oct 2025,39.2,31.3,14.3,0.2,1.1,1.5,12.5
2025-10-26,26 Oct – 01 Nov 2025,37.8,30.7,15.7,0.2,1.1,1.5,13.0
2025-11-02,02 Nov – 08 Nov 2025,40.0,31.6,14.3,0.2,1.0,1.4,11.7
2025-11-09,09 Nov – 15 Nov 2025,38.9,30.4,15.6,0.2,1.0,1.4,12.4
2025-11-16,16 Nov – 22 Nov 2025,37.8,29.8,16.6,0.2,1.1,1.5,12.9
2025-11-23,23 Nov – 29 Nov 2025,40.8,32.3,14.0,0.2,0.9,1.2,10.6
2025-11-30,30 Nov – 06 Dec 2025,38.2,30.6,16.4,0.2,1.0,1.4,12.2
2025-12-07,07 Dec – 13 Dec 2025,37.6,30.6,16.5,0.2,1.0,1.4,12.7
2025-12-14,14 Dec – 20 Dec 2025,37.3,30.5,16.6,0.2,1.1,1.5,12.9
2025-12-21,21 Dec – 27 Dec 2025,36.3,30.2,17.3,0.2,1.1,1.6,13.3
2025-12-28,28 Dec – 03 Jan 2026,36.0,30.1,17.6,0.2,1.1,1.6,13.4
2026-01-04,04 Jan – 10 Jan 2026,37.4,30.9,17.2,0.2,1.0,1.5,11.9
2026-01-11,11 Jan – 17 Jan 2026,38.4,32.1,15.3,0.2,0.9,1.5,11.6
2026-01-18,18 Jan – 24 Jan 2026,37.9,30.8,16.1,0.2,1.0,1.6,12.4
2026-01-25,25 Jan – 31 Jan 2026,38.3,30.6,16.2,0.2,1.0,1.6,12.2
2026-02-01,01 Feb – 07 Feb 2026,36.9,30.1,17.4,0.2,1.0,1.6,12.8
2026-02-08,08 Feb – 14 Feb 2026,36.9,30.0,17.5,0.2,1.0,1.6,12.9
2026-02-15,15 Feb – 21 Feb 2026,37.0,30.5,16.3,0.2,0.9,1.4,13.7
2026-02-22,22 Feb – 28 Feb 2026,35.6,29.2,18.0,0.2,0.9,1.5,14.6
2026-03-01,01 Mar – 07 Mar 2026,35.4,28.7,18.0,0.2,1.0,1.5,15.2
2026-03-08,08 Mar – 14 Mar 2026,35.5,28.6,18.3,0.2,0.9,1.5,15.0
2026-03-15,15 Mar – 21 Mar 2026,37.1,29.2,17.6,0.2,1.0,1.5,13.4
2026-03-22,22 Mar – 28 Mar 2026,36.6,29.1,18.0,0.2,1.0,1.6,13.6
2026-03-29,29 Mar – 04 Apr 2026,36.1,28.6,18.5,0.2,1.0,1.7,14.0
2026-04-05,05 Apr – 11 Apr 2026,35.5,28.3,18.9,0.2,1.0,1.7,14.4
2026-04-12,12 Apr – 18 Apr 2026,35.3,27.9,19.2,0.2,1.0,1.6,14.9
2026-04-19,19 Apr – 25 Apr 2026,35.5,28.3,18.9,0.2,1.0,1.7,14.5
2026-04-26,26 Apr – 02 May 2026,34.7,27.8,19.7,0.2,1.1,1.7,14.9
2026-05-03,03 May – 09 May 2026,34.1,28.0,20.2,0.2,1.0,1.6,14.9
2026-05-10,10 May – 16 May 2026,35.2,28.1,19.5,0.2,1.0,1.6,14.5
2026-05-17,17 May – 23 May 2026,35.5,27.6,19.4,0.2,1.0,1.5,14.8
2026-05-24,24 May – 30 May 2026,36.0,29.1,18.6,0.2,1.0,1.4,13.8
2026-05-31,31 May – 06 Jun 2026,35.4,28.3,19.4,0.2,1.1,1.5,14.1
