date,AlbaCars,Automall,Cars24,Dubizzle,Kavak,RMAMotors
2026-01-01,1.4,5.5,6.1,81.6,5.2,0.3
2026-01-02,1.6,5.5,6.6,80.6,5.3,0.4
2026-01-03,1.7,5.6,7.2,79.6,5.6,0.4
2026-01-04,1.4,5.4,6.2,81.5,5.1,0.3
2026-01-05,1.4,4.6,6.2,82.6,4.9,0.3
2026-01-06,1.3,4.6,5.9,82.9,4.9,0.3
2026-01-07,1.5,4.4,6.3,82.5,5.0,0.4
2026-01-08,1.5,4.6,6.1,82.6,4.8,0.4
2026-01-09,1.5,5.4,6.4,80.9,5.4,0.4
2026-01-10,1.7,5.3,7.1,79.9,5.5,0.4
2026-01-11,1.6,5.2,6.5,80.9,5.3,0.4
2026-01-12,1.3,4.6,6.1,82.8,4.8,0.4
2026-01-13,1.5,4.6,6.2,82.4,5.1,0.3
2026-01-14,1.5,4.5,6.1,82.8,4.9,0.3
2026-01-15,1.5,4.7,6.4,82.3,4.8,0.3
2026-01-16,1.6,5.2,6.3,81.4,5.0,0.4
2026-01-17,2.0,5.7,6.9,79.3,5.6,0.4
2026-01-18,1.7,5.3,6.4,81.0,5.3,0.4
2026-01-19,1.5,4.1,6.5,83.1,4.5,0.4
2026-01-20,1.5,4.4,5.9,83.2,4.6,0.4
2026-01-21,1.7,4.3,5.9,83.2,4.6,0.4
2026-01-22,1.5,4.6,6.3,82.4,4.9,0.3
2026-01-23,1.7,4.9,6.3,81.4,5.2,0.4
2026-01-24,1.9,5.8,6.6,79.4,6.0,0.4
2026-01-25,1.8,4.8,6.5,81.2,5.3,0.3
2026-01-26,1.5,4.4,6.1,82.6,5.1,0.3
2026-01-27,1.6,4.4,6.0,82.6,5.1,0.4
2026-01-28,1.5,4.4,6.0,82.9,4.9,0.3
2026-01-29,1.6,4.4,6.1,82.3,5.3,0.3
2026-01-30,1.7,5.1,6.3,81.0,5.5,0.4
2026-01-31,1.9,6.0,6.7,79.2,5.9,0.3
2026-02-01,1.9,5.5,5.9,80.9,5.4,0.4
2026-02-02,1.5,4.4,6.0,82.8,4.9,0.3
2026-02-03,1.6,4.9,6.4,81.4,5.5,0.4
2026-02-04,1.6,4.8,5.8,82.3,5.0,0.4
2026-02-05,1.6,4.7,6.1,81.7,5.6,0.3
2026-02-06,1.7,5.4,6.7,80.0,5.9,0.4
2026-02-07,1.9,6.1,7.1,78.2,6.4,0.4
2026-02-08,1.6,5.6,6.9,79.9,5.7,0.4
2026-02-09,1.6,4.7,6.0,82.4,4.9,0.4
2026-02-10,1.4,5.1,6.4,81.9,5.0,0.4
2026-02-11,1.6,4.8,6.3,81.9,5.0,0.4
2026-02-12,1.5,4.9,6.8,81.7,4.9,0.4
2026-02-13,1.7,5.5,6.9,79.9,5.6,0.4
2026-02-14,1.9,6.0,6.9,78.8,6.1,0.4
2026-02-15,1.8,5.3,6.3,80.8,5.4,0.4
2026-02-16,1.5,4.8,6.2,82.2,4.9,0.3
2026-02-17,1.6,5.2,6.4,81.0,5.3,0.5
2026-02-18,1.7,5.6,6.5,80.5,5.3,0.4
2026-02-19,1.8,5.8,6.7,79.2,6.1,0.4
2026-02-20,1.9,6.4,6.8,78.5,6.1,0.4
2026-02-21,2.0,6.1,7.0,77.6,6.8,0.5
2026-02-22,1.8,5.7,6.7,79.2,6.1,0.4
2026-02-23,1.6,5.0,6.6,80.6,5.8,0.4
2026-02-24,1.7,5.1,6.5,80.9,5.3,0.5
2026-02-25,1.7,6.1,6.3,80.1,5.5,0.4
2026-02-26,1.6,5.8,6.4,80.1,5.7,0.4
2026-02-27,1.7,5.9,6.7,79.0,6.1,0.5
2026-02-28,2.0,5.2,6.2,79.8,6.5,0.4
2026-03-01,2.5,4.1,5.2,82.7,5.3,0.3
2026-03-02,1.8,3.2,4.6,85.8,4.1,0.4
2026-03-03,1.5,3.6,5.6,83.7,5.3,0.3
2026-03-04,1.4,3.8,5.6,83.9,5.0,0.3
2026-03-05,1.5,3.8,5.9,83.5,5.0,0.3
2026-03-06,1.6,4.6,6.5,81.4,5.6,0.3
2026-03-07,1.8,4.3,6.6,81.2,5.9,0.3
2026-03-08,1.8,4.1,6.2,82.4,5.2,0.2
2026-03-09,1.6,3.9,6.0,83.4,4.8,0.3
2026-03-10,1.5,3.9,6.1,83.4,4.8,0.3
2026-03-11,1.5,3.5,5.8,84.3,4.7,0.3
2026-03-12,1.3,3.7,5.9,83.4,5.3,0.4
2026-03-13,1.5,3.7,5.8,83.5,5.2,0.4
2026-03-14,1.4,4.5,6.0,82.8,5.0,0.3
2026-03-15,1.4,4.2,7.0,82.2,5.0,0.4
2026-03-16,1.2,3.6,6.7,83.4,4.7,0.3
2026-03-17,1.3,3.7,5.8,84.4,4.4,0.4
2026-03-18,1.6,3.8,5.5,84.0,4.6,0.4
2026-03-19,2.4,3.9,6.2,82.0,5.0,0.4
2026-03-20,2.6,4.1,5.6,82.1,5.3,0.4
2026-03-21,2.0,3.9,5.9,82.9,4.8,0.4
2026-03-22,1.5,3.8,5.5,84.6,4.3,0.3
2026-03-23,1.3,3.4,5.4,85.7,4.0,0.3
2026-03-24,1.2,3.3,5.2,85.9,4.1,0.4
2026-03-25,1.2,3.2,5.5,85.6,4.1,0.3
2026-03-26,1.6,3.2,5.4,85.6,4.0,0.3
2026-03-27,1.6,3.6,5.5,84.8,4.3,0.3
2026-03-28,1.7,3.8,6.0,83.5,4.7,0.3
2026-03-29,1.6,3.6,5.7,84.5,4.5,0.3
2026-03-30,1.4,3.4,5.3,85.5,4.2,0.3
2026-03-31,1.4,2.8,5.2,86.2,4.2,0.2
2026-04-01,1.2,2.8,4.8,87.1,4.0,0.2
2026-04-02,1.2,3.2,5.0,86.5,3.8,0.3
2026-04-03,1.3,3.3,5.5,85.3,4.3,0.3
2026-04-04,1.4,3.6,5.5,84.7,4.6,0.3
2026-04-05,1.4,3.3,5.6,85.4,4.1,0.3
2026-04-06,1.2,3.1,5.1,86.4,3.9,0.3
2026-04-07,1.2,3.0,5.2,86.7,3.6,0.3
2026-04-08,1.3,3.3,5.6,85.4,4.1,0.3
2026-04-09,1.3,3.3,5.5,85.4,4.2,0.3
2026-04-10,1.4,3.8,5.7,84.4,4.3,0.4
2026-04-11,1.7,4.3,6.0,83.2,4.5,0.3
2026-04-12,1.4,3.9,6.0,84.0,4.4,0.3
2026-04-13,1.2,3.2,5.6,85.8,3.9,0.3
2026-04-14,1.3,3.3,5.5,85.7,4.0,0.3
2026-04-15,1.3,3.7,5.7,85.0,4.0,0.3
2026-04-16,1.4,3.6,5.8,84.5,4.3,0.4
2026-04-17,1.5,4.4,6.5,83.0,4.4,0.3
2026-04-18,1.7,4.8,6.5,81.6,5.1,0.4
2026-04-19,1.6,4.9,6.5,82.2,4.6,0.3
2026-04-20,1.5,4.0,5.8,84.4,4.0,0.3
2026-04-21,1.4,3.8,5.8,84.5,4.3,0.3
2026-04-22,1.4,4.2,6.0,83.6,4.6,0.3
2026-04-23,1.6,4.0,6.1,83.5,4.5,0.3
2026-04-24,1.6,4.3,6.4,82.8,4.6,0.3
2026-04-25,1.9,4.8,6.6,81.4,5.0,0.3
2026-04-26,1.7,4.7,6.6,82.1,4.5,0.3
2026-04-27,1.4,3.9,6.0,84.1,4.3,0.3
2026-04-28,1.6,3.9,6.1,83.6,4.4,0.3
2026-04-29,1.9,4.0,6.2,83.2,4.3,0.4
