week_start,week,AlbaCars,Automall,Cars24,Dubizzle,Kavak,RMAMotors
2025-12-28,28 Dec – 03 Jan 2026,1.5,5.3,6.4,81.3,5.2,0.3
2026-01-04,04 Jan – 10 Jan 2026,1.5,4.9,6.3,81.9,5.1,0.4
2026-01-11,11 Jan – 17 Jan 2026,1.6,4.9,6.3,81.8,5.1,0.4
2026-01-18,18 Jan – 24 Jan 2026,1.6,4.7,6.3,82.0,5.0,0.4
2026-01-25,25 Jan – 31 Jan 2026,1.7,4.8,6.2,81.8,5.3,0.3
2026-02-01,01 Feb – 07 Feb 2026,1.7,5.1,6.3,81.1,5.5,0.4
2026-02-08,08 Feb – 14 Feb 2026,1.6,5.2,6.6,81.0,5.3,0.4
2026-02-15,15 Feb – 21 Feb 2026,1.8,5.6,6.6,80.0,5.7,0.4
2026-02-22,22 Feb – 28 Feb 2026,1.7,5.6,6.5,80.0,5.8,0.4
2026-03-01,01 Mar – 07 Mar 2026,1.7,3.9,5.7,83.2,5.2,0.3
2026-03-08,08 Mar – 14 Mar 2026,1.5,3.9,6.0,83.3,5.0,0.3
2026-03-15,15 Mar – 21 Mar 2026,1.7,3.9,6.2,83.1,4.8,0.4
2026-03-22,22 Mar – 28 Mar 2026,1.4,3.4,5.5,85.1,4.2,0.3
2026-03-29,29 Mar – 04 Apr 2026,1.3,3.2,5.3,85.7,4.2,0.3
2026-04-05,05 Apr – 11 Apr 2026,1.3,3.4,5.5,85.3,4.1,0.3
2026-04-12,12 Apr – 18 Apr 2026,1.4,3.8,5.9,84.3,4.3,0.3
2026-04-19,19 Apr – 25 Apr 2026,1.6,4.3,6.2,83.2,4.5,0.3
2026-04-26,26 Apr – 02 May 2026,1.7,4.3,6.3,82.8,4.6,0.3
2026-05-03,03 May – 09 May 2026,1.7,4.5,6.1,82.6,4.8,0.4
2026-05-10,10 May – 16 May 2026,1.7,4.6,6.2,82.3,4.9,0.4
2026-05-17,17 May – 23 May 2026,1.6,4.3,6.4,82.7,4.7,0.4
2026-05-24,24 May – 30 May 2026,1.8,4.7,6.8,81.3,5.0,0.4
