city,month,impressions
Agartala,2025-02,237
Agartala,2025-03,88
Agartala,2025-04,60
Agartala,2025-05,72
Agartala,2025-06,109
Agartala,2025-07,87
Agartala,2025-08,77
Agartala,2025-09,54
Agartala,2025-10,74
Agartala,2026-02,74
Agartala,2026-04,72
Agartala,2026-05,104
Agra,2025-02,857
Agra,2025-03,1211
Agra,2025-04,1429
Agra,2025-05,1588
Agra,2025-06,1453
Agra,2025-07,1448
Agra,2025-08,1457
Agra,2025-09,1151
Agra,2025-10,1382
Agra,2025-11,1273
Agra,2025-12,1529
Agra,2026-01,1606
Agra,2026-02,1516
Agra,2026-03,1558
Agra,2026-04,1414
Agra,2026-05,1662
Ahmedabad,2025-02,8714
Ahmedabad,2025-03,9887
Ahmedabad,2025-04,9660
Ahmedabad,2025-05,10424
Ahmedabad,2025-06,10468
Ahmedabad,2025-07,11063
Ahmedabad,2025-08,10898
Ahmedabad,2025-09,11161
Ahmedabad,2025-10,13333
Ahmedabad,2025-11,12742
Ahmedabad,2025-12,14356
Ahmedabad,2026-01,14543
Ahmedabad,2026-02,13724
Ahmedabad,2026-03,17228
Ahmedabad,2026-04,16883
Ahmedabad,2026-05,16389
Aligarh,2025-02,97
Aligarh,2025-04,99
Aligarh,2025-05,165
Aligarh,2025-06,215
Aligarh,2025-07,211
Aligarh,2025-08,116
Aligarh,2025-09,141
Aligarh,2025-10,154
Aligarh,2025-11,110
Aligarh,2025-12,112
Allahabad,2026-01,73
Allahabad,2026-02,101
Ambala,2025-05,90
Amravati,2025-02,82
Amravati,2025-03,122
Amravati,2025-04,104
Amravati,2025-05,209
Amravati,2025-06,126
Amravati,2025-07,140
Amravati,2025-08,93
Amravati,2025-09,80
Amravati,2025-10,73
Amravati,2025-12,66
Amritsar,2025-02,139
Amritsar,2025-03,178
Amritsar,2025-04,171
Amritsar,2025-05,109
Amritsar,2025-06,137
Amritsar,2025-07,256
Amritsar,2025-08,216
Amritsar,2025-09,122
Amritsar,2025-10,127
Amritsar,2026-05,92
Anand,2025-04,298
Anand,2025-05,172
Anand,2025-06,162
Anand,2025-07,322
Anand,2025-08,300
Anand,2025-09,251
Anand,2025-10,263
Anand,2025-11,235
Anand,2025-12,216
Anand,2026-01,223
Anand,2026-02,107
Aurangabad,2025-02,290
Aurangabad,2025-03,346
Aurangabad,2025-04,387
Aurangabad,2025-05,447
Aurangabad,2025-06,457
Aurangabad,2025-07,609
Aurangabad,2025-08,414
Aurangabad,2025-09,351
Aurangabad,2025-10,439
Aurangabad,2025-11,511
Aurangabad,2025-12,523
Aurangabad,2026-01,501
Aurangabad,2026-02,532
Aurangabad,2026-03,537
Aurangabad,2026-04,179
Aurangabad,2026-05,638
Bachupally,2025-02,463
Bachupally,2025-03,668
Bachupally,2025-04,629
Bachupally,2025-05,670
Bachupally,2025-06,656
Bachupally,2025-07,609
Bachupally,2025-08,475
Bachupally,2025-09,443
Bachupally,2025-10,587
Bachupally,2025-11,661
Bachupally,2025-12,676
Bachupally,2026-01,680
Bachupally,2026-02,679
Bachupally,2026-03,513
Bachupally,2026-04,707
Bachupally,2026-05,604
Bangalore,2025-02,7316
Bangalore,2025-03,9286
Bangalore,2025-04,8778
Bangalore,2025-05,9253
Bangalore,2025-06,9155
Bangalore,2025-07,9671
Bangalore,2025-08,10247
Bangalore,2025-09,9852
Bangalore,2025-10,10748
Bangalore,2025-11,10168
Bangalore,2025-12,11413
Bangalore,2026-01,12182
Bangalore,2026-02,11513
Bangalore,2026-03,13993
Bangalore,2026-04,13989
Bangalore,2026-05,13371
Bareilly,2025-02,211
Bareilly,2025-03,176
Bareilly,2025-04,191
Bareilly,2025-05,223
Bareilly,2025-06,207
Bareilly,2025-07,238
Bareilly,2025-08,198
Bareilly,2025-09,169
Bareilly,2025-11,92
Bareilly,2025-12,288
Bareilly,2026-02,92
Bareilly,2026-05,128
Belgaum,2025-04,86
Belgaum,2025-05,110
Belgaum,2025-06,118
Belgaum,2025-07,114
Belgaum,2025-08,141
Belgaum,2025-09,83
Belgaum,2025-10,115
Belgaum,2025-11,65
Belgaum,2025-12,105
Belgaum,2026-01,77
Belgaum,2026-03,106
Belgaum,2026-04,158
Belgaum,2026-05,281
Bellahalli,2026-04,272
Bengaluru,2025-02,58
Bengaluru,2025-04,66
Bengaluru,2025-05,106
Bengaluru,2025-06,114
Bengaluru,2025-07,108
Bengaluru,2025-08,107
Bengaluru,2025-09,80
Bengaluru,2025-10,78
Bengaluru,2025-11,70
Bengaluru,2025-12,101
Bengaluru,2026-03,133
Bengaluru,2026-05,152
Bhavnagar,2025-03,166
Bhavnagar,2025-04,184
Bhavnagar,2025-05,218
Bhavnagar,2025-06,200
Bhavnagar,2025-07,168
Bhavnagar,2025-08,110
Bhavnagar,2025-09,135
Bhavnagar,2025-11,128
Bhopal,2025-02,754
Bhopal,2025-03,991
Bhopal,2025-04,996
Bhopal,2025-05,1343
Bhopal,2025-06,1281
Bhopal,2025-07,1636
Bhopal,2025-08,1327
Bhopal,2025-09,1405
Bhopal,2025-10,1400
Bhopal,2025-11,1233
Bhopal,2025-12,1583
Bhopal,2026-01,1922
Bhopal,2026-02,1720
Bhopal,2026-03,1684
Bhopal,2026-04,1665
Bhopal,2026-05,2045
Bhubaneswar,2025-02,151
Bhubaneswar,2025-03,130
Bhubaneswar,2025-04,267
Bhubaneswar,2025-05,354
Bhubaneswar,2025-06,326
Bhubaneswar,2025-07,305
Bhubaneswar,2025-08,274
Bhubaneswar,2025-09,399
Bhubaneswar,2025-10,495
Bhubaneswar,2025-11,245
Bhubaneswar,2025-12,658
Bhubaneswar,2026-01,485
Bhubaneswar,2026-02,446
Bhubaneswar,2026-03,290
Bhubaneswar,2026-04,583
Bhubaneswar,2026-05,786
Chandigarh,2025-02,1381
Chandigarh,2025-03,1543
Chandigarh,2025-04,1517
Chandigarh,2025-05,1859
Chandigarh,2025-06,1689
Chandigarh,2025-07,2092
Chandigarh,2025-08,2144
Chandigarh,2025-09,2011
Chandigarh,2025-10,2224
Chandigarh,2025-11,2542
Chandigarh,2025-12,3475
Chandigarh,2026-01,3571
Chandigarh,2026-02,3258
Chandigarh,2026-03,3584
Chandigarh,2026-04,3425
Chandigarh,2026-05,3272
Chennai,2025-02,5620
Chennai,2025-03,7046
Chennai,2025-04,6941
Chennai,2025-05,7548
Chennai,2025-06,7681
Chennai,2025-07,7208
Chennai,2025-08,6653
Chennai,2025-09,6324
Chennai,2025-10,7658
Chennai,2025-11,8327
Chennai,2025-12,10700
Chennai,2026-01,11066
Chennai,2026-02,9905
Chennai,2026-03,11318
Chennai,2026-04,11694
Chennai,2026-05,11667
Coimbatore,2025-02,4416
Coimbatore,2025-03,5259
Coimbatore,2025-04,5280
Coimbatore,2025-05,4905
Coimbatore,2025-06,5067
Coimbatore,2025-07,4996
Coimbatore,2025-08,4577
Coimbatore,2025-09,4297
Coimbatore,2025-10,4992
Coimbatore,2025-11,5073
Coimbatore,2025-12,5339
Coimbatore,2026-01,5913
Coimbatore,2026-02,5135
Coimbatore,2026-03,6094
Coimbatore,2026-04,6354
Coimbatore,2026-05,5886
Dehradun,2025-02,619
Dehradun,2025-03,860
Dehradun,2025-04,969
Dehradun,2025-05,877
Dehradun,2025-06,1395
Dehradun,2025-07,1371
Dehradun,2025-08,1096
Dehradun,2025-09,1112
Dehradun,2025-10,990
