month,Cars24,Category
2023-01,72.4,73.5
2023-02,68.2,66.5
2023-03,78.4,69.2
2023-04,76.1,64.9
2023-05,77.0,68.7
2023-06,68.0,65.2
2023-07,67.3,69.2
2023-08,70.0,68.4
2023-09,67.8,67.8
2023-10,74.9,80.9
2023-11,68.9,76.8
2023-12,61.9,74.7
2024-01,79.1,93.6
2024-02,74.7,90.4
2024-03,71.9,94.4
2024-04,72.1,100.0
2024-05,76.0,96.8
2024-06,69.8,83.6
2024-07,68.7,88.4
2024-08,74.1,75.6
2024-09,70.0,79.8
2024-10,71.7,73.6
2024-11,66.6,69.7
2024-12,61.1,63.0
2025-01,72.9,82.8
2025-02,68.2,75.8
2025-03,69.8,82.1
2025-04,69.1,72.2
2025-05,75.9,76.6
2025-06,73.0,70.3
2025-07,73.0,74.7
2025-08,74.7,73.1
2025-09,70.9,65.0
2025-10,71.2,66.7
2025-11,75.2,62.7
2025-12,67.1,55.9
2026-01,88.1,71.5
2026-02,74.8,64.9
2026-03,100.0,68.6
2026-04,80.0,58.6
2026-05,86.5,63.0
2026-06,83.7,59.0
