region,month,index
NSW,2023-01,72.3
NSW,2023-02,64.5
NSW,2023-03,67.8
NSW,2023-04,64.5
NSW,2023-05,66.8
NSW,2023-06,63.6
NSW,2023-07,68.0
NSW,2023-08,66.4
NSW,2023-09,68.8
NSW,2023-10,79.1
NSW,2023-11,76.1
NSW,2023-12,77.4
NSW,2024-01,96.8
NSW,2024-02,89.4
NSW,2024-03,96.2
NSW,2024-04,100.0
NSW,2024-05,96.8
NSW,2024-06,86.1
NSW,2024-07,88.0
NSW,2024-08,74.2
NSW,2024-09,79.6
NSW,2024-10,71.5
NSW,2024-11,68.9
NSW,2024-12,61.9
NSW,2025-01,82.2
NSW,2025-02,74.5
NSW,2025-03,82.4
NSW,2025-04,70.0
NSW,2025-05,75.2
NSW,2025-06,69.6
NSW,2025-07,72.0
NSW,2025-08,70.9
NSW,2025-09,62.9
NSW,2025-10,63.7
NSW,2025-11,60.7
NSW,2025-12,53.7
NSW,2026-01,70.3
NSW,2026-02,62.3
NSW,2026-03,66.5
NSW,2026-04,55.7
NSW,2026-05,60.0
NSW,2026-06,56.3
QLD,2023-01,70.5
QLD,2023-02,64.0
QLD,2023-03,66.3
QLD,2023-04,61.0
QLD,2023-05,65.7
QLD,2023-06,62.2
QLD,2023-07,67.2
QLD,2023-08,67.3
QLD,2023-09,64.8
QLD,2023-10,78.9
QLD,2023-11,78.9
QLD,2023-12,76.5
QLD,2024-01,99.3
QLD,2024-02,98.1
QLD,2024-03,98.5
QLD,2024-04,100.0
QLD,2024-05,98.2
QLD,2024-06,78.4
QLD,2024-07,87.4
QLD,2024-08,75.2
QLD,2024-09,77.8
QLD,2024-10,71.8
QLD,2024-11,65.8
QLD,2024-12,58.8
QLD,2025-01,78.8
QLD,2025-02,73.7
QLD,2025-03,74.9
QLD,2025-04,71.4
QLD,2025-05,75.6
QLD,2025-06,68.1
QLD,2025-07,75.3
QLD,2025-08,74.4
QLD,2025-09,63.6
QLD,2025-10,67.5
QLD,2025-11,64.4
QLD,2025-12,56.7
QLD,2026-01,71.7
QLD,2026-02,65.0
QLD,2026-03,67.3
QLD,2026-04,59.4
QLD,2026-05,64.2
QLD,2026-06,59.0
VIC,2023-01,79.4
VIC,2023-02,72.0
VIC,2023-03,74.6
VIC,2023-04,71.2
VIC,2023-05,76.3
VIC,2023-06,70.9
VIC,2023-07,74.8
VIC,2023-08,72.8
VIC,2023-09,70.1
VIC,2023-10,85.0
VIC,2023-11,77.9
VIC,2023-12,74.8
VIC,2024-01,92.9
VIC,2024-02,89.3
VIC,2024-03,93.1
VIC,2024-04,100.0
VIC,2024-05,98.1
VIC,2024-06,87.2
VIC,2024-07,90.9
VIC,2024-08,78.7
VIC,2024-09,83.1
VIC,2024-10,76.9
VIC,2024-11,72.7
VIC,2024-12,67.0
VIC,2025-01,86.8
VIC,2025-02,79.9
VIC,2025-03,85.9
VIC,2025-04,74.7
VIC,2025-05,77.2
VIC,2025-06,72.8
VIC,2025-07,76.8
VIC,2025-08,74.2
VIC,2025-09,67.8
VIC,2025-10,68.9
VIC,2025-11,64.5
VIC,2025-12,57.8
VIC,2026-01,72.8
VIC,2026-02,68.5
VIC,2026-03,70.7
VIC,2026-04,60.7
VIC,2026-05,65.0
VIC,2026-06,61.4
