region,month,index
New South Wales,2023-01,63.3
New South Wales,2023-02,60.7
New South Wales,2023-03,67.1
New South Wales,2023-04,60.5
New South Wales,2023-05,60.9
New South Wales,2023-06,53.9
New South Wales,2023-07,53.3
New South Wales,2023-08,53.7
New South Wales,2023-09,52.1
New South Wales,2023-10,55.1
New South Wales,2023-11,51.7
New South Wales,2023-12,44.8
New South Wales,2024-01,56.5
New South Wales,2024-02,56.8
New South Wales,2024-03,55.8
New South Wales,2024-04,51.3
New South Wales,2024-05,56.6
New South Wales,2024-06,50.1
New South Wales,2024-07,51.6
New South Wales,2024-08,56.5
New South Wales,2024-09,53.4
New South Wales,2024-10,55.4
New South Wales,2024-11,55.4
New South Wales,2024-12,53.4
New South Wales,2025-01,61.5
New South Wales,2025-02,57.2
New South Wales,2025-03,57.7
New South Wales,2025-04,54.0
New South Wales,2025-05,63.7
New South Wales,2025-06,58.8
New South Wales,2025-07,61.1
New South Wales,2025-08,63.2
New South Wales,2025-09,62.4
New South Wales,2025-10,65.7
New South Wales,2025-11,72.9
New South Wales,2025-12,65.1
New South Wales,2026-01,88.2
New South Wales,2026-02,74.3
New South Wales,2026-03,100.0
New South Wales,2026-04,79.9
New South Wales,2026-05,83.7
Queensland,2023-01,64.4
Queensland,2023-02,58.2
Queensland,2023-03,67.0
Queensland,2023-04,63.4
Queensland,2023-05,72.3
Queensland,2023-06,60.7
Queensland,2023-07,61.1
Queensland,2023-08,66.5
Queensland,2023-09,66.0
Queensland,2023-10,64.2
Queensland,2023-11,60.8
Queensland,2023-12,57.3
Queensland,2024-01,78.3
Queensland,2024-02,73.4
Queensland,2024-03,68.0
Queensland,2024-04,71.8
Queensland,2024-05,80.2
Queensland,2024-06,72.6
Queensland,2024-07,74.1
Queensland,2024-08,77.4
Queensland,2024-09,71.5
Queensland,2024-10,71.4
Queensland,2024-11,68.9
Queensland,2024-12,54.6
Queensland,2025-01,71.8
Queensland,2025-02,71.3
Queensland,2025-03,65.1
Queensland,2025-04,65.8
Queensland,2025-05,72.0
Queensland,2025-06,72.2
Queensland,2025-07,71.8
Queensland,2025-08,81.1
Queensland,2025-09,73.6
Queensland,2025-10,74.0
Queensland,2025-11,74.4
Queensland,2025-12,66.1
Queensland,2026-01,90.2
Queensland,2026-02,74.7
Queensland,2026-03,100.0
Queensland,2026-04,75.6
Queensland,2026-05,81.0
Victoria,2023-01,86.0
Victoria,2023-02,81.5
Victoria,2023-03,95.9
Victoria,2023-04,96.3
Victoria,2023-05,93.4
Victoria,2023-06,84.8
Victoria,2023-07,83.7
Victoria,2023-08,86.7
Victoria,2023-09,83.5
Victoria,2023-10,98.2
Victoria,2023-11,87.9
Victoria,2023-12,78.5
Victoria,2024-01,100.0
Victoria,2024-02,92.0
Victoria,2024-03,89.4
Victoria,2024-04,91.4
Victoria,2024-05,92.2
Victoria,2024-06,86.2
Victoria,2024-07,82.2
Victoria,2024-08,89.5
Victoria,2024-09,85.3
Victoria,2024-10,87.9
Victoria,2024-11,77.2
Victoria,2024-12,72.7
Victoria,2025-01,85.3
Victoria,2025-02,78.6
Victoria,2025-03,83.9
Victoria,2025-04,85.6
Victoria,2025-05,91.2
Victoria,2025-06,87.8
Victoria,2025-07,86.1
Victoria,2025-08,83.8
Victoria,2025-09,78.6
Victoria,2025-10,76.8
Victoria,2025-11,77.9
Victoria,2025-12,71.6
Victoria,2026-01,90.8
Victoria,2026-02,77.8
Victoria,2026-03,96.6
Victoria,2026-04,83.2
Victoria,2026-05,93.0
