month,Agra,Ahmedabad,Bengaluru,Bhopal,Chandigarh,Chennai,Coimbatore,Dehradun,Delhi NCR,Hyderabad,Indore,Jaipur,Jodhpur,Kanpur,Karnal,Kochi,Kolkata
2023-01,2.2,12.8,42.4,1.9,3.1,21.1,3.9,1.3,70.7,29.1,4.1,7.7,0.9,1.4,0.5,2.8,5.3
2023-02,1.9,12.6,37.0,1.6,2.7,18.2,3.4,1.1,65.4,25.3,4.0,6.8,0.7,1.3,0.4,2.1,5.3
2023-03,2.4,13.7,42.2,1.7,3.2,21.8,4.1,1.2,71.5,27.8,4.3,7.7,0.9,1.4,0.4,1.9,6.3
2023-04,2.3,13.8,42.6,1.4,2.9,20.1,4.3,1.0,68.8,27.0,4.0,7.0,0.9,1.2,0.3,2.1,5.7
2023-05,2.5,14.6,50.3,1.6,2.8,24.0,5.8,1.1,72.9,29.6,4.3,7.0,1.0,1.5,0.4,2.5,5.8
2023-06,3.0,15.4,52.3,1.4,2.9,26.7,6.0,1.6,73.4,32.2,4.4,7.1,1.3,1.9,0.3,2.6,6.2
2023-07,3.0,18.5,61.5,1.6,3.2,28.8,7.1,1.5,77.5,35.2,5.4,7.5,1.3,2.1,0.3,4.0,6.6
2023-08,2.8,19.6,58.7,1.8,3.0,28.7,7.3,1.1,74.6,32.1,6.1,8.2,1.1,1.7,0.4,4.2,6.7
2023-09,2.8,21.5,59.1,1.8,2.6,30.2,9.7,1.1,72.2,30.4,6.2,7.8,1.1,1.7,0.3,4.8,6.5
2023-10,3.2,20.7,60.7,1.7,2.7,30.8,12.5,1.2,73.6,30.5,6.1,7.9,1.3,1.8,0.3,4.1,5.7
2023-11,3.2,19.6,57.2,1.5,2.1,33.8,12.3,1.0,65.3,29.1,5.3,6.9,1.2,1.5,0.3,3.5,5.8
2023-12,3.7,23.4,60.0,1.9,2.8,30.6,12.0,1.1,76.9,33.7,6.2,8.8,1.4,1.7,0.4,3.5,6.2
2024-01,3.9,20.5,63.4,1.8,3.0,35.3,11.1,1.1,79.9,34.4,6.4,9.7,1.2,1.7,0.4,3.4,6.6
2024-02,3.9,21.8,57.4,1.8,3.0,30.4,9.7,1.1,72.7,33.4,6.2,9.4,1.1,1.9,0.3,3.1,6.4
2024-03,3.7,22.5,61.8,1.7,2.7,30.9,10.1,1.1,70.1,32.1,6.3,9.2,1.0,1.6,0.3,3.0,6.0
2024-04,3.3,21.3,58.5,1.7,2.6,29.2,9.6,1.0,68.3,33.7,5.9,8.4,1.0,1.6,0.4,3.2,6.2
2024-05,4.0,24.9,66.9,1.7,2.7,30.5,9.9,1.2,76.1,35.9,6.7,9.4,1.1,1.8,0.4,3.4,6.3
2024-06,3.4,23.9,60.9,1.4,2.2,28.9,9.0,1.0,68.1,28.8,5.7,8.7,1.0,1.6,0.4,3.5,5.5
2024-07,3.4,23.3,60.7,1.6,2.6,29.9,8.1,1.1,70.2,26.4,6.0,8.6,1.1,1.6,0.4,3.4,6.1
2024-08,3.7,23.6,58.1,1.8,2.7,31.9,8.1,1.2,69.9,27.6,6.8,9.2,1.1,1.8,0.4,3.5,6.1
2024-09,3.7,22.5,52.1,1.9,2.8,28.6,7.8,1.1,67.9,26.2,5.6,9.1,1.1,1.5,0.3,3.0,5.9
2024-10,3.2,21.1,55.7,2.2,2.7,26.6,7.4,1.2,64.9,26.4,5.3,8.4,1.1,1.4,0.3,3.4,5.5
2024-11,3.0,21.8,50.8,1.9,2.2,27.2,7.4,1.0,63.2,24.8,4.7,7.6,1.0,1.3,0.3,3.2,5.3
2024-12,3.2,21.5,53.5,2.2,2.9,28.5,8.0,1.1,72.1,26.6,5.1,8.6,1.0,1.5,0.3,3.0,5.3
2025-01,3.4,20.7,54.5,2.2,2.9,27.6,8.0,1.2,77.2,26.9,5.7,9.3,1.1,1.6,0.4,3.1,6.0
2025-02,3.1,20.3,46.1,2.0,2.7,23.9,6.7,1.3,70.2,23.4,5.4,8.5,1.0,1.6,0.3,2.8,5.5
2025-03,3.6,21.8,51.6,2.4,3.2,26.5,7.8,1.4,78.1,26.0,5.8,9.0,1.2,1.6,0.4,2.9,6.3
2025-04,3.4,21.5,52.0,2.3,3.2,24.9,7.8,1.7,73.5,26.6,5.7,8.7,1.2,1.9,0.4,2.8,5.9
2025-05,4.1,25.3,59.9,3.1,3.5,26.1,7.9,2.0,87.5,29.1,7.7,9.7,1.3,2.5,0.5,3.1,7.6
2025-06,3.9,25.5,59.6,3.0,3.6,26.8,7.8,2.3,86.4,28.2,8.4,10.3,1.5,2.5,0.6,2.9,7.4
2025-07,4.2,27.5,60.3,3.8,4.4,26.3,7.9,2.4,94.7,28.3,8.5,11.3,1.6,2.7,0.6,2.7,7.5
2025-08,4.3,26.1,58.2,3.6,4.3,25.2,7.9,2.4,86.4,27.7,8.2,11.2,1.4,2.6,0.6,2.4,6.9
2025-09,4.2,24.9,56.2,3.4,4.1,23.5,7.4,2.3,92.3,26.3,8.0,10.8,1.4,2.4,0.6,2.3,6.0
2025-10,4.2,26.4,57.6,3.4,3.4,24.9,7.4,2.3,83.2,28.2,7.8,10.7,1.3,2.5,0.5,2.4,6.8
2025-11,4.1,26.7,56.8,3.0,3.4,24.8,7.5,2.1,88.2,26.9,7.4,11.0,1.3,2.5,0.6,1.9,6.3
2025-12,5.1,27.7,58.0,3.5,4.5,26.4,7.4,2.4,97.4,28.3,8.2,13.1,1.5,2.8,0.8,2.0,7.3
2026-01,5.0,26.6,58.9,3.8,4.3,27.1,7.3,2.5,96.8,28.5,8.9,13.7,1.7,3.5,0.7,2.4,7.6
2026-02,4.3,24.4,52.0,3.2,3.8,23.8,6.5,2.2,85.2,25.5,7.5,12.5,1.4,2.9,0.7,2.1,7.3
2026-03,4.4,26.6,58.0,3.2,3.8,25.0,6.9,2.3,92.1,28.4,7.6,12.7,1.4,3.1,0.7,2.0,8.4
2026-04,3.9,26.1,54.8,3.1,3.8,24.2,6.4,2.3,94.5,29.0,7.1,12.7,1.4,2.9,0.7,1.9,7.8
2026-05,4.7,27.9,60.7,3.9,4.1,25.9,6.6,2.4,100.0,31.7,8.9,15.0,1.7,3.7,0.8,2.1,8.4
2026-06,4.8,26.4,59.3,3.9,4.1,27.7,7.1,2.4,93.2,31.7,8.6,15.2,1.7,3.5,0.9,2.3,8.8
2026-07,4.7,25.2,57.6,3.7,4.8,28.8,6.8,2.5,98.0,31.6,8.6,14.7,1.6,3.2,1.1,2.2,9.3
2026-08,4.4,25.0,57.0,4.4,5.1,28.2,6.4,2.6,96.3,30.4,9.6,14.8,1.6,3.5,1.0,2.3,9.5
