month,Agra,Ahmedabad,Bengaluru,Bhopal,Chandigarh,Chennai,Coimbatore,Dehradun,Delhi NCR,Hyderabad,Indore,Jaipur,Jodhpur,Kanpur,Karnal,Kochi,Kolkata
2023-01,4.4,9.1,66.6,2.2,2.5,35.2,6.1,2.0,75.4,42.8,5.2,7.1,1.4,2.4,0.7,3.4,6.3
2023-02,3.9,8.8,57.3,2.1,2.0,32.1,5.3,1.7,67.3,38.6,4.7,6.5,1.4,2.1,0.6,2.7,6.1
2023-03,5.1,12.5,66.8,2.6,3.2,43.0,8.1,2.1,80.9,44.1,6.8,8.9,2.0,3.0,0.7,2.7,7.9
2023-04,6.2,15.6,76.8,3.0,4.1,41.7,7.9,2.5,94.2,49.7,9.0,12.0,2.9,3.4,0.9,3.1,8.8
2023-05,5.7,14.1,75.5,3.2,3.0,43.4,7.7,1.9,83.9,50.8,8.8,11.2,2.6,3.2,0.7,3.8,8.7
2023-06,5.6,13.0,70.8,2.8,2.9,44.5,8.7,1.8,80.8,48.6,8.5,9.4,2.2,2.9,0.6,3.8,7.7
2023-07,4.9,12.2,74.5,2.7,2.8,45.0,9.4,1.8,78.2,51.3,7.9,8.6,1.9,2.6,0.6,3.7,7.1
2023-08,4.4,10.9,68.6,2.4,2.6,41.6,9.1,1.6,71.0,44.9,7.1,7.7,2.0,2.4,0.5,3.4,6.8
2023-09,4.4,10.4,71.4,2.1,2.4,42.1,8.4,1.6,67.6,44.5,6.4,7.4,1.9,2.2,0.5,3.8,6.8
2023-10,4.1,9.9,64.6,1.9,2.1,37.4,7.5,1.6,61.2,41.6,5.9,7.3,2.1,2.1,0.5,3.1,5.4
2023-11,4.1,10.0,61.0,1.9,1.7,39.4,8.9,1.2,57.6,37.8,5.8,6.7,1.9,1.9,0.6,3.1,5.5
2023-12,7.8,19.7,68.3,3.4,3.7,35.6,8.4,2.4,87.3,43.8,10.6,12.6,3.7,3.7,0.8,2.9,8.7
2024-01,8.2,15.5,75.0,3.5,5.7,42.8,9.2,2.7,88.5,44.9,10.7,13.9,3.1,3.8,1.0,3.4,9.4
2024-02,6.0,13.3,65.9,2.7,3.7,40.9,9.9,2.0,75.0,40.4,8.8,10.6,2.3,3.1,0.6,3.0,8.2
2024-03,5.6,12.0,64.3,2.5,3.6,40.5,9.8,1.9,71.7,38.8,8.2,9.6,2.1,2.6,0.6,2.8,7.3
2024-04,6.1,14.7,63.3,2.9,3.2,38.1,8.3,1.9,74.9,40.6,9.8,11.3,2.6,3.0,0.6,3.2,8.3
2024-05,6.2,15.8,71.7,3.2,3.5,39.2,9.0,2.1,80.5,44.2,10.3,12.1,2.8,3.1,0.6,3.3,9.1
2024-06,5.6,13.0,66.9,2.4,2.7,38.9,8.0,1.8,71.2,36.4,7.9,9.4,2.0,2.4,0.5,3.1,7.4
2024-07,5.7,13.8,67.6,2.8,3.2,36.5,6.3,2.0,71.2,31.5,8.8,10.2,2.2,2.7,0.6,3.0,8.0
2024-08,6.1,13.0,63.1,2.9,3.4,36.3,5.7,1.8,68.4,29.2,9.8,11.6,2.5,2.9,0.5,2.9,7.2
2024-09,5.2,11.1,56.6,2.7,3.1,32.9,5.5,1.6,63.9,26.2,6.5,9.3,1.9,2.2,0.4,2.7,7.1
2024-10,4.6,10.6,63.5,3.2,2.6,30.4,5.1,1.5,58.4,28.1,5.7,8.5,1.9,2.0,0.4,3.1,7.8
2024-11,5.4,12.6,58.9,3.6,2.8,32.4,5.9,1.5,62.7,27.1,6.3,9.3,2.1,2.4,0.5,3.0,6.9
2024-12,5.5,11.3,60.1,3.7,3.4,33.5,5.9,1.9,68.8,28.5,6.4,10.2,2.2,2.5,0.6,2.7,7.1
2025-01,5.7,10.5,61.0,3.7,3.0,33.0,5.8,1.8,72.0,29.0,6.9,10.4,2.1,2.7,0.5,3.0,8.0
2025-02,4.8,10.8,53.8,3.4,2.6,31.3,6.5,1.7,63.8,26.7,6.3,8.8,1.8,2.4,0.4,2.5,7.3
2025-03,4.8,11.4,59.6,3.2,2.7,31.4,6.8,1.5,69.6,30.4,6.6,8.7,2.0,2.4,0.5,2.9,8.3
2025-04,4.3,11.0,60.5,3.2,2.5,29.8,5.9,1.7,66.5,29.7,6.5,8.6,1.8,2.7,0.5,2.8,7.9
2025-05,9.5,23.9,76.0,7.5,5.1,32.3,7.1,3.6,100.0,41.8,13.5,18.7,4.4,6.2,1.0,3.2,13.1
2025-06,6.3,15.3,70.2,4.7,3.9,33.6,7.0,2.8,80.4,34.4,8.8,12.7,2.9,4.6,0.6,3.4,10.6
2025-07,6.1,15.2,78.8,6.0,4.5,35.5,8.2,3.0,88.4,37.2,9.5,13.8,2.9,4.6,0.6,3.4,11.7
2025-08,5.8,16.0,73.1,5.8,4.7,33.1,8.1,2.9,79.3,33.8,9.0,13.6,2.6,4.8,0.7,6.0,9.7
2025-09,4.9,13.5,64.0,4.7,3.7,29.1,7.1,2.4,68.5,31.1,7.8,10.7,2.3,3.8,0.6,3.4,8.1
2025-10,6.2,17.1,64.9,5.3,3.5,32.2,8.2,2.4,64.6,31.4,9.3,11.6,2.6,4.7,0.7,3.5,9.1
2025-11,7.1,18.0,66.5,5.4,3.8,39.6,12.4,2.9,75.3,29.3,9.7,13.2,3.1,5.0,0.9,2.4,9.1
2025-12,8.7,18.7,72.3,6.2,4.8,41.4,9.7,3.5,97.6,35.4,11.0,14.8,3.1,5.8,1.2,3.5,11.2
2026-01,7.2,14.4,65.6,5.6,3.8,35.4,9.4,3.1,76.6,30.6,9.5,12.5,2.7,5.2,0.8,2.6,9.6
2026-02,5.5,13.6,55.9,4.5,3.3,30.1,7.6,2.4,66.0,28.5,7.4,10.8,2.3,4.3,0.6,1.9,8.9
2026-03,5.0,13.0,58.8,4.2,3.0,29.6,6.9,2.3,65.3,27.2,6.8,10.1,2.5,3.9,0.6,2.2,8.3
2026-04,4.9,13.8,55.3,4.2,3.0,27.2,5.5,2.6,67.4,27.5,6.8,10.2,2.3,4.1,0.6,2.2,8.6
2026-05,5.4,13.5,58.8,4.7,2.8,26.9,5.2,2.6,69.5,27.7,7.6,10.6,2.3,4.3,0.7,2.2,8.2
2026-06,5.9,13.6,54.9,5.5,3.4,27.1,5.4,2.8,68.2,28.8,9.0,12.0,2.4,4.6,0.7,1.9,8.6
2026-07,5.0,12.4,54.2,4.7,3.6,26.3,5.0,2.4,63.7,27.7,7.9,10.2,2.2,4.1,0.9,2.3,9.7
2026-08,5.1,12.2,54.5,5.3,3.8,26.5,4.9,2.6,66.3,26.5,8.4,11.0,2.1,4.2,0.7,2.3,10.2
