month,Cars24,Category
2023-01,53.4,58.4
2023-02,47.9,51.5
2023-03,54.8,65.1
2023-04,52.4,75.5
2023-05,59.4,73.4
2023-06,66.5,70.1
2023-07,73.2,69.6
2023-08,68.8,63.2
2023-09,69.3,61.0
2023-10,71.9,57.0
2023-11,66.6,55.1
2023-12,74.3,77.3
2024-01,75.8,81.5
2024-02,70.7,66.8
2024-03,71.5,64.6
2024-04,70.0,68.1
2024-05,77.9,74.0
2024-06,69.9,64.3
2024-07,71.9,66.8
2024-08,73.5,64.5
2024-09,67.2,55.4
2024-10,67.3,56.9
2024-11,64.2,59.0
2024-12,68.0,63.1
2025-01,70.1,62.9
2025-02,62.9,55.1
2025-03,70.4,59.5
2025-04,68.3,57.9
2025-05,79.1,100.0
2025-06,79.4,76.9
2025-07,82.6,81.5
2025-08,78.5,78.4
2025-09,77.9,67.1
2025-10,78.7,75.1
2025-11,77.5,81.6
2025-12,86.6,89.5
2026-01,89.0,77.1
2026-02,78.4,65.3
2026-03,83.8,64.7
2026-04,85.0,65.7
2026-05,100.0,72.1
