month,Cars24,Category
2023-01,64.9,97.3
2023-02,60.2,94.5
2023-03,68.4,98.2
2023-04,65.6,90.4
2023-05,76.7,100.0
2023-06,65.9,79.6
2023-07,71.4,82.8
2023-08,97.7,92.7
2023-09,92.9,98.1
2023-10,91.5,87.2
2023-11,85.6,84.3
2023-12,79.0,84.1
2024-01,92.3,95.6
2024-02,84.6,84.3
2024-03,83.0,85.7
2024-04,76.6,75.6
2024-05,93.3,86.1
2024-06,87.2,70.8
2024-07,90.2,71.4
2024-08,92.9,75.0
2024-09,91.5,77.8
2024-10,93.8,73.5
2024-11,85.1,66.5
2024-12,80.5,68.1
2025-01,94.3,81.8
2025-02,84.2,72.6
2025-03,90.0,79.9
2025-04,93.4,74.1
2025-05,94.0,72.4
2025-06,83.4,62.2
2025-07,93.0,70.9
2025-08,100.0,78.3
2025-09,95.4,72.3
2025-10,91.3,70.3
2025-11,84.0,63.7
2025-12,79.7,60.3
2026-01,93.7,63.0
2026-02,84.1,53.7
2026-03,63.1,45.0
2026-04,72.8,49.2
2026-05,74.9,50.6
2026-06,83.5,52.5
2026-07,83.4,50.2
