date,impressions,clicks
2025-02-25,1010,182
2025-02-26,1040,195
2025-02-27,1052,169
2025-02-28,1118,156
2025-03-01,925,214
2025-03-02,1031,147
2025-03-03,1003,177
2025-03-04,961,168
2025-03-05,907,160
2025-03-06,908,129
2025-03-07,888,136
2025-03-08,871,135
2025-03-09,911,137
2025-03-10,987,176
2025-03-11,1065,166
2025-03-12,1125,206
2025-03-13,927,145
2025-03-14,962,172
2025-03-15,873,161
2025-03-16,1011,176
2025-03-17,938,150
2025-03-18,924,176
2025-03-19,1021,178
2025-03-20,1047,160
2025-03-21,1003,185
2025-03-22,934,175
2025-03-23,1053,199
2025-03-24,1019,189
2025-03-25,1006,206
2025-03-26,966,162
2025-03-27,1009,160
2025-03-28,1043,223
2025-03-29,799,119
2025-03-30,921,148
2025-03-31,936,189
2025-04-01,1095,204
2025-04-02,1059,241
2025-04-03,977,234
2025-04-04,975,179
2025-04-05,932,153
2025-04-06,1111,216
2025-04-07,1081,191
2025-04-08,1022,181
2025-04-09,988,173
2025-04-10,922,192
2025-04-11,883,215
2025-04-12,808,129
2025-04-13,885,193
2025-04-14,1012,172
2025-04-15,1054,197
2025-04-16,883,159
2025-04-17,779,159
2025-04-18,885,163
2025-04-19,756,131
2025-04-20,876,179
2025-04-21,970,178
2025-04-22,1075,204
2025-04-23,1062,214
2025-04-24,866,126
2025-04-25,1017,179
2025-04-26,893,150
2025-04-27,1088,209
2025-04-28,1156,193
2025-04-29,1043,168
2025-04-30,950,169
2025-05-01,1036,175
2025-05-02,1018,165
2025-05-03,835,139
2025-05-04,968,160
2025-05-05,1124,195
2025-05-06,1171,194
2025-05-07,1061,167
2025-05-08,981,164
2025-05-09,966,182
2025-05-10,875,190
2025-05-11,1096,179
2025-05-12,1153,194
2025-05-13,1066,174
2025-05-14,1039,199
2025-05-15,1057,198
2025-05-16,1035,274
2025-05-17,907,210
2025-05-18,1082,186
2025-05-19,1115,243
2025-05-20,1107,264
2025-05-21,1037,195
2025-05-22,1061,261
2025-05-23,1102,300
2025-05-24,988,261
2025-05-25,1225,224
2025-05-26,1178,354
2025-05-27,1162,313
2025-05-28,1075,232
2025-05-29,1165,285
2025-05-30,1113,268
2025-05-31,918,207
2025-06-01,1065,162
2025-06-02,1074,215
2025-06-03,1082,203
2025-06-04,1108,192
2025-06-05,1002,176
2025-06-06,1076,174
2025-06-07,902,141
2025-06-08,1035,183
2025-06-09,1198,256
2025-06-10,1301,314
2025-06-11,1132,322
2025-06-12,1094,228
2025-06-13,1047,232
2025-06-14,938,241
2025-06-15,1051,199
2025-06-16,1140,196
2025-06-17,1038,207
2025-06-18,1099,233
2025-06-19,1065,192
2025-06-20,1039,213
2025-06-21,946,165
2025-06-22,1098,215
2025-06-23,1114,189
2025-06-24,1067,216
2025-06-25,1070,277
2025-06-26,1024,183
2025-06-27,1151,341
2025-06-28,1033,258
2025-06-29,1108,323
2025-06-30,1201,361
2025-07-01,1049,182
2025-07-02,1016,175
2025-07-03,944,153
2025-07-04,937,174
2025-07-05,924,155
2025-07-06,1064,174
2025-07-07,1086,168
2025-07-08,1191,197
2025-07-09,1058,208
2025-07-10,1043,229
2025-07-11,1040,212
2025-07-12,928,165
2025-07-13,1011,239
2025-07-14,1166,185
2025-07-15,1114,228
2025-07-16,1048,173
2025-07-17,987,179
2025-07-18,1046,166
2025-07-19,962,176
2025-07-20,1130,186
2025-07-21,1130,166
2025-07-22,1111,235
2025-07-23,1020,169
2025-07-24,977,242
2025-07-25,1088,294
2025-07-26,903,256
2025-07-27,1067,240
2025-07-28,980,175
2025-07-29,1102,223
2025-07-30,1139,313
2025-07-31,1102,223
2025-08-01,1041,245
2025-08-02,926,227
2025-08-03,1094,192
2025-08-04,1086,201
2025-08-05,1087,180
2025-08-06,1131,273
2025-08-07,1113,367
2025-08-08,1093,321
2025-08-09,895,315
2025-08-10,1117,397
2025-08-11,1153,383
2025-08-12,1061,313
2025-08-13,1147,444
2025-08-14,1050,348
2025-08-15,1153,321
2025-08-16,992,273
2025-08-17,1046,242
2025-08-18,1193,391
2025-08-19,1172,341
2025-08-20,1200,382
2025-08-21,1044,287
2025-08-22,1190,351
2025-08-23,1023,290
2025-08-24,1187,282
2025-08-25,1213,258
2025-08-26,1189,298
2025-08-27,1195,280
2025-08-28,1177,309
2025-08-29,1099,304
2025-08-30,955,252
2025-08-31,1059,274
2025-09-01,1097,263
2025-09-02,1060,234
2025-09-03,1555,492
2025-09-04,1182,392
2025-09-05,1099,373
2025-09-06,933,300
2025-09-07,1070,262
2025-09-08,1110,306
2025-09-09,1157,352
2025-09-10,1107,281
2025-09-11,1101,218
2025-09-12,1136,257
2025-09-13,915,269
2025-09-14,1080,272
2025-09-15,1153,258
2025-09-16,1129,276
2025-09-17,1116,293
2025-09-18,1052,310
2025-09-19,1048,285
2025-09-20,878,182
2025-09-21,1065,230
2025-09-22,1042,237
2025-09-23,1085,298
2025-09-24,948,276
2025-09-25,963,236
2025-09-26,856,223
2025-09-27,870,240
2025-09-28,948,233
2025-09-29,1178,422
2025-09-30,1058,361
2025-10-01,1002,246
2025-10-02,990,352
2025-10-03,918,255
2025-10-04,814,185
2025-10-05,927,216
2025-10-06,1094,333
2025-10-07,1080,303
2025-10-08,1047,337
2025-10-09,926,270
2025-10-10,1056,300
2025-10-11,882,274
2025-10-12,1067,238
2025-10-13,1145,309
2025-10-14,1126,279
2025-10-15,1048,280
2025-10-16,1074,270
2025-10-17,994,246
2025-10-18,895,225
2025-10-19,1082,211
2025-10-20,1026,243
2025-10-21,1087,193
2025-10-22,1056,223
2025-10-23,1059,259
2025-10-24,1130,293
2025-10-25,961,253
2025-10-26,1000,208
2025-10-27,1154,337
2025-10-28,1120,271
2025-10-29,1143,322
2025-10-30,1050,183
2025-10-31,915,190
2025-11-01,899,161
2025-11-02,1121,225
2025-11-03,1072,257
2025-11-04,964,203
2025-11-05,982,228
2025-11-06,1047,255
2025-11-07,1071,293
2025-11-08,981,182
2025-11-09,1074,239
2025-11-10,1100,217
2025-11-11,1101,202
2025-11-12,1104,140
2025-11-13,1094,153
2025-11-14,1018,167
2025-11-15,979,160
2025-11-16,1122,154
2025-11-17,1079,161
2025-11-18,1069,157
2025-11-19,1061,139
2025-11-20,1025,187
2025-11-21,1072,143
2025-11-22,893,114
2025-11-23,973,168
2025-11-24,2811,968
2025-11-25,1521,471
2025-11-26,1195,268
2025-11-27,1105,194
2025-11-28,1072,187
2025-11-29,889,198
2025-11-30,1131,163
2025-12-01,1138,131
2025-12-02,1077,134
2025-12-03,1120,159
2025-12-04,1086,169
2025-12-05,939,128
2025-12-06,877,117
2025-12-07,1074,135
2025-12-08,1087,136
2025-12-09,1198,146
2025-12-10,1029,152
2025-12-11,958,200
2025-12-12,945,152
2025-12-13,845,101
2025-12-14,904,93
2025-12-15,1140,158
2025-12-16,992,134
2025-12-17,911,104
2025-12-18,907,126
2025-12-19,846,105
2025-12-20,878,140
2025-12-21,998,125
2025-12-22,989,151
2025-12-23,934,143
2025-12-24,594,80
2025-12-25,780,103
2025-12-26,1026,102
2025-12-27,841,106
2025-12-28,1120,126
2025-12-29,1187,167
2025-12-30,1044,122
2025-12-31,876,101
2026-01-01,1390,293
2026-01-02,1348,323
2026-01-03,1298,291
2026-01-04,1471,283
2026-01-05,1463,349
2026-01-06,1357,280
2026-01-07,1291,226
2026-01-08,1215,240
2026-01-09,1242,261
2026-01-10,1078,206
2026-01-11,1371,214
2026-01-12,1467,254
2026-01-13,1345,295
2026-01-14,1265,258
2026-01-15,1329,290
2026-01-16,1276,362
2026-01-17,1117,244
2026-01-18,1318,288
2026-01-19,1397,345
2026-01-20,1298,347
2026-01-21,1129,228
2026-01-22,1216,226
