date,impressions,clicks
2023-11-01,29085,6264
2023-11-02,27795,5915
2023-11-03,28926,6346
2023-11-04,29930,6172
2023-11-05,30998,6623
2023-11-06,30738,7605
2023-11-07,28459,7138
2023-11-08,28696,7295
2023-11-09,27442,6940
2023-11-10,26544,6626
2023-11-11,24136,6153
2023-11-12,22357,5700
2023-11-13,30728,7873
2023-11-14,32555,9083
2023-11-15,27080,7525
2023-11-16,30753,8993
2023-11-17,31876,9336
2023-11-18,32103,9331
2023-11-19,26198,7451
2023-11-20,30787,9303
2023-11-21,30728,9013
2023-11-22,31855,10533
2023-11-23,30219,9460
2023-11-24,31103,9244
2023-11-25,32206,9316
2023-11-26,32630,9652
2023-11-27,32009,10167
2023-11-28,31139,10253
2023-11-29,31586,12283
2023-11-30,30935,13819
2023-12-01,29427,9253
2023-12-02,31008,9652
2023-12-03,29622,9094
2023-12-04,29662,9596
2023-12-05,29671,9323
2023-12-06,29739,9013
2023-12-07,29635,9319
2023-12-08,31036,9255
2023-12-09,31956,9498
2023-12-10,32380,9441
2023-12-11,32152,9432
2023-12-12,31431,9240
2023-12-13,30580,9114
2023-12-14,31002,9056
2023-12-15,31564,9194
2023-12-16,34357,10032
2023-12-17,34112,9807
2023-12-18,33532,9669
2023-12-19,31641,10456
2023-12-20,30616,10065
2023-12-21,29782,8663
2023-12-22,30549,8612
2023-12-23,33075,8899
2023-12-24,33971,9550
2023-12-25,33907,9400
2023-12-26,34654,9165
2023-12-27,34009,9534
2023-12-28,32888,9009
2023-12-29,32441,8956
2023-12-30,31897,8977
2023-12-31,26396,6661
2024-01-01,30204,7810
2024-01-02,31648,8141
2024-01-03,31563,8285
2024-01-04,30989,8052
2024-01-05,31350,8110
2024-01-06,33644,8363
2024-01-07,34135,8647
2024-01-08,33549,8887
2024-01-09,31716,8557
2024-01-10,30782,8049
2024-01-11,30025,8360
2024-01-12,30510,8498
2024-01-13,31507,8494
2024-01-14,31568,8423
2024-01-15,31853,9011
2024-01-16,32767,9181
2024-01-17,32953,9809
2024-01-18,32089,9258
2024-01-19,32007,9011
2024-01-20,32669,8988
2024-01-21,31289,8299
2024-01-22,29385,7808
2024-01-23,31173,8078
2024-01-24,30849,7974
2024-01-25,30399,8107
2024-01-26,32658,9770
2024-01-27,34015,12976
2024-01-28,33183,12958
2024-01-29,33404,13117
2024-01-30,32608,12473
2024-01-31,30628,11612
2024-02-01,30391,10868
2024-02-02,31101,10242
2024-02-03,32422,9644
2024-02-04,32989,10925
2024-02-05,32193,9484
2024-02-06,31194,9255
2024-02-07,30666,9180
2024-02-08,30618,8500
2024-02-09,30625,8428
2024-02-10,32909,9425
2024-02-11,32518,8712
2024-02-12,32017,8941
2024-02-13,30864,8577
2024-02-14,29329,7575
2024-02-15,29626,8228
2024-02-16,31643,8495
2024-02-17,33523,8508
2024-02-18,33864,8693
2024-02-19,33466,8991
2024-02-20,32722,9030
2024-02-21,31735,9065
2024-02-22,30969,8373
2024-02-23,31526,8662
2024-02-24,33496,8441
2024-02-25,32637,8241
2024-02-26,32740,8726
2024-02-27,31835,8576
2024-02-28,31234,8565
2024-02-29,29752,8462
2024-03-01,30795,10571
2024-03-02,31698,10533
2024-03-03,33255,11181
2024-03-04,31869,10530
2024-03-05,31713,9770
2024-03-06,29932,9335
2024-03-07,29927,9975
2024-03-08,31364,9055
2024-03-09,32704,9670
2024-03-10,30048,9855
2024-03-11,31608,9309
2024-03-12,30366,8986
2024-03-13,29268,8359
2024-03-14,29775,8680
2024-03-15,29591,8482
2024-03-16,30751,8243
2024-03-17,30933,8303
2024-03-18,31533,8741
2024-03-19,32236,8482
2024-03-20,30896,8351
2024-03-21,29651,7833
2024-03-22,28027,7554
2024-03-23,29094,8051
2024-03-24,27028,6949
2024-03-25,26275,7562
2024-03-26,30398,8949
2024-03-27,29151,8137
2024-03-28,30795,8912
2024-03-29,32099,9695
2024-03-30,32616,8916
2024-03-31,29804,8791
2024-04-01,30796,8304
2024-04-02,29565,8764
2024-04-03,29549,8128
2024-04-04,29811,8146
2024-04-05,29372,8002
2024-04-06,29985,7553
2024-04-07,30225,8439
2024-04-08,30301,8014
2024-04-09,31111,8300
2024-04-10,30828,8191
2024-04-11,31075,7863
2024-04-12,31788,8026
2024-04-13,32796,8057
2024-04-14,31263,7530
2024-04-15,30924,7908
2024-04-16,31009,7812
2024-04-17,30654,7775
2024-04-18,30060,7626
2024-04-19,30590,7588
2024-04-20,31690,7843
2024-04-21,31477,7594
2024-04-22,31756,8282
2024-04-23,31306,8172
2024-04-24,31324,7872
2024-04-25,30977,8068
2024-04-26,31260,7635
2024-04-27,33403,8011
2024-04-28,32104,7753
2024-04-29,33494,8484
2024-04-30,32788,7894
2024-05-01,32917,7805
2024-05-02,31970,8261
2024-05-03,33213,8046
2024-05-04,34480,7858
2024-05-05,33916,7909
2024-05-06,33327,8442
2024-05-07,33294,8097
2024-05-08,33501,8348
2024-05-09,33275,8854
2024-05-10,33284,8475
2024-05-11,34418,8571
2024-05-12,32938,8290
2024-05-13,33756,8755
2024-05-14,33230,8359
2024-05-15,32837,8204
2024-05-16,34113,8679
2024-05-17,33578,8341
2024-05-18,34654,8259
2024-05-19,34974,8438
2024-05-20,34540,8804
2024-05-21,33265,8552
2024-05-22,31484,8088
2024-05-23,33004,8206
2024-05-24,32750,8280
2024-05-25,34266,8411
2024-05-26,33528,8204
2024-05-27,34610,8960
2024-05-28,33571,8746
2024-05-29,32246,8471
2024-05-30,33454,8988
2024-05-31,32657,8531
2024-06-01,32552,8068
2024-06-02,32986,8113
2024-06-03,29929,7836
2024-06-04,24188,6006
2024-06-05,27656,7160
2024-06-06,29751,7588
2024-06-07,30044,7372
2024-06-08,32244,7920
2024-06-09,30165,7239
2024-06-10,31660,8265
2024-06-11,32455,8605
2024-06-12,31258,8447
2024-06-13,31213,8798
2024-06-14,31664,8568
2024-06-15,32962,9334
2024-06-16,34067,8510
2024-06-17,34299,9115
2024-06-18,34164,9783
2024-06-19,33043,8708
2024-06-20,31870,8260
2024-06-21,32575,8407
2024-06-22,34718,8375
2024-06-23,35215,8281
