post_id,date,type,caption,url,likes,comments,views,reach,saves,shares,interactions,insights_ok
18119941588757719,2026-07-13,VIDEO,"Everyone's got an opinion on the ""best"" car brand🚗⁠ ⁠ It comes down to your budget, your lifestyle, and what you actuall",https://www.instagram.com/reel/DaucBnAk-fu/,47,2,1895,1679,0,3,52,True
18254479489306333,2026-07-12,VIDEO,"Not a passenger. A glorified shelf. 📦😭⁠ ⁠ ⁠ [car humour, passenger seat, relatable, funny car video, australian drivers]",https://www.instagram.com/reel/DasITfTALSE/,9,1,813,634,0,1,12,True
18093756872628804,2026-07-10,IMAGE,Seeing this light on your dashboard? It's worth paying attention to.⁠ ⁠ That's your battery warning. Your charging syste,https://www.instagram.com/p/DanCJkXkmus/,1,1,412,249,0,0,2,True
18076532942693645,2026-07-08,VIDEO,"Just got your P's? Huge milestone 🎉🚗⁠ ⁠ Three habits that actually keep you safe out there: slow down, leave more space,",https://www.instagram.com/reel/Dahq1EJjiag/,45,1,1912,1677,3,13,64,True
17934148098303701,2026-07-06,CAROUSEL_ALBUM,"Skip the showroom. Skip the small talk. 🛋️🚗⁠ ⁠ With our Virtual Test Drive, a real Cars24 specialist takes you through t",https://www.instagram.com/p/DacaawIklCi/,5,1,570,279,0,0,6,True
18115572544853806,2026-07-02,VIDEO,Your car hates winter more than you do 😉❄️⁠ ⁠ Here's what the cold's actually doing to your engine.⁠ ⁠ ⁠ [winter driving,https://www.instagram.com/reel/DaSRfRNlRm5/,28,1,1112,953,3,6,38,True
18146291368520278,2026-06-30,VIDEO,Buying a used car online sounds scary. It's actually this easy 🚗✨⁠ ⁠ Browse hundreds of cars. Check out in minutes. Get ,https://www.instagram.com/reel/DaNSNQ0El_7/,18,2,3818,3067,7,20,47,True
18126809197647295,2026-06-29,IMAGE,"PSA: stop topping up your brake fluid 🛑⁠ ⁠ Brake fluid doesn't just disappear. If your level is dropping, it usually mea",https://www.instagram.com/p/DaKYzYoEtKp/,2,2,789,550,0,0,4,True
18330811651248227,2026-06-28,VIDEO,"Petrol light on. Aux cord dead. It's actually over. 😭💀⁠ ⁠ ⁠ ⁠ [car humour, driving fails, parallel parking, petrol light",https://www.instagram.com/reel/DaIB1ZfgEY6/,15,4,1353,1066,0,1,20,True
18564697993066579,2026-06-25,VIDEO,"Practical. Sensible. Responsible 🐎🔥⁠ ⁠ Dad this one just makes sense. And yes, it's on Cars24. 👀⁠ ⁠ ⁠ [ford mustang, mus",https://www.instagram.com/reel/DaAaTNVgs9B/,97,1,3250,2875,7,25,131,True
18596637271013158,2026-06-24,VIDEO,"Warming up for the biggest savings of the year. 🔥🚗⁠ ⁠ EOFY ends June 30 and up to $5,000 off is not going to last. Brows",https://www.instagram.com/reel/DZ9nvRAgf3o/,9,0,994,861,0,8,17,True
18119443414689539,2026-06-22,IMAGE,"Last chance. EOFY ends this week ⏰🚗⁠ ⁠ Up to $5,000 off and it's all gone June 30. No extensions, no second chances, no ",https://www.instagram.com/p/DZ4XQBVkljG/,4,1,564,413,0,0,5,True
17954844201192989,2026-06-19,VIDEO,"19 tabs open and you still don't know if you're getting a good deal😩💻⁠ ⁠ With the Cars24 Price Match Guarantee, if you f",https://www.instagram.com/reel/DZw9eN_lJ40/,14,2,1278,1150,4,5,25,True
17884119573595120,2026-06-18,IMAGE,Two reasons buying with Cars24 just hits different 💙⁠ ⁠ Find it cheaper elsewhere and we match the price on the spot. Ch,https://www.instagram.com/p/DZuK7M7ktU-/,2,1,580,390,0,0,3,True
18461093065113684,2026-06-17,VIDEO,"The car did not deserve this 😭🚗💀⁠ ⁠ She's fine. The curb is fine. Everything is fine.⁠ ⁠ ⁠ ⁠ [new driver, p plates, funn",https://www.instagram.com/reel/DZrmI-uFTMy/,13,1,1213,914,0,1,16,True
17892128829517282,2026-06-16,CAROUSEL_ALBUM,Your car could be a tax deduction. Plot twist. 🧾🚗⁠ ⁠ Two ways to claim it at tax time and one of them is probably saving,https://www.instagram.com/p/DZpc3HTF1tU/,5,1,595,316,0,4,10,True
18024786344833223,2026-06-16,VIDEO,"Our Electric Future Has Arrived! | Cars24 News  Nearly half of all new vehicles sold during the month of May were EVs, s",https://www.instagram.com/reel/DZozuW4DbGQ/,22,0,865,770,0,0,25,True
18361456483234265,2026-06-15,VIDEO,Your car has been trying to tell you something. 👀🚗⁠ Dodgy heater. Mystery dashboard lights. A new sound every week.⁠ EOF,https://www.instagram.com/reel/DZmVs7fjW7D/,18,1,871,785,2,12,33,True
18146598436452677,2026-06-13,VIDEO,Walk through your next car live. From your couch. 🛋️🚗⁠ ⁠ Jump on a live video call with a real Cars24 specialist and the,https://www.instagram.com/reel/DZhnk2uDZq_/,17,1,1220,1006,0,14,32,True
