month,label,followers,followers_gained,followers_lost,net_followers,profile_views,accounts_engaged,total_followers,total_media
2024-08,Aug'24,108933,0,0,0,29877,0,108933,5496
2024-09,Sep'24,108933,0,0,0,34369,0,108933,5496
2024-10,Oct'24,108933,0,0,0,42063,0,108933,5496
2024-11,Nov'24,108933,0,0,0,33068,0,108933,5496
2024-12,Dec'24,108933,0,0,0,40917,0,108933,5496
2025-01,Jan'25,108933,0,0,0,25225,0,108933,5496
2025-02,Feb'25,108933,0,0,0,19010,0,108933,5496
2025-03,Mar'25,108933,0,0,0,18366,0,108933,5496
2025-04,Apr'25,108933,0,0,0,16220,0,108933,5496
2025-05,May'25,108933,0,0,0,12994,0,108933,5496
2025-06,Jun'25,108933,0,0,0,12255,0,108933,5496
2025-07,Jul'25,108933,718,605,113,10965,0,108933,5496
2025-08,Aug'25,108933,1957,1452,505,6841,0,108933,5496
2025-09,Sep'25,108933,2267,1480,787,12519,0,108933,5496
2025-10,Oct'25,108933,2417,1504,913,15230,0,108933,5496
2025-11,Nov'25,108933,3952,1473,2479,22296,0,108933,5496
2025-12,Dec'25,108933,2984,1537,1447,17330,0,108933,5496
2026-01,Jan'26,108933,2306,1614,692,13325,20812,108933,5496
2026-02,Feb'26,108933,2192,1563,629,6265,15670,108933,5496
2026-03,Mar'26,108933,1969,1565,404,5994,12481,108933,5496
2026-04,Apr'26,108933,1641,1558,83,3322,4913,108933,5496
2026-05,May'26,108933,1727,1833,-106,3980,6144,108933,5496
2026-06,Jun'26,108933,1575,1682,-107,2813,1872,108933,5496
2026-07,Jul'26,108933,1092,1194,-102,1902,982,108933,5496
