category,value
Automotive,2912
Information Technology & Services,2202
Internet,1780
Retail,1434
Banking,1239
Management Consulting,1203
Financial Services,1172
Computer Software,1124
Real Estate,1008
1292,977
Logistics & Supply Chain,870
Marketing & Advertising,678
Staffing & Recruiting,515
Telecommunications,500
Human Resources,478
Construction,455
Accounting,447
Hospitality,417
Oil & Energy,396
Consumer Goods,389
Higher Education,363
Food & Beverages,349
"Leisure, Travel & Tourism",346
Insurance,320
1905,319
Hospital & Health Care,318
Electrical & Electronic Manufacturing,305
1285,298
Transportation/Trucking/Railroad,287
1999,263
1862,263
Education Management,253
Airlines/Aviation,251
Consumer Services,248
Mechanical Or Industrial Engineering,239
Apparel & Fashion,218
2226,211
Food Production,202
E-learning,197
Investment Management,188
Outsourcing/Offshoring,185
1916,185
1128,177
1770,175
Building Materials,170
International Trade & Development,170
Government Administration,169
1725,162
Pharmaceuticals,159
Facilities Services,153
"Health, Wellness & Fitness",152
Events Services,152
1673,147
Machinery,146
Industrial Automation,144
Professional Training & Coaching,142
Executive Office,139
Entertainment,133
Package/Freight Delivery,133
Luxury Goods & Jewelry,130
Restaurants,127
3132,117
Chemicals,114
Civil Engineering,107
3242,104
2194,103
Legal Services,102
Maritime,101
1339,98
Cosmetics,98
3102,96
Non-profit Organization Management,96
Capital Markets,96
1925,93
Medical Device,92
1042,91
Consumer Electronics,90
Information Services,87
Program Development,85
3126,84
Online Media,79
Wholesale,78
Textiles,76
Design,76
Architecture & Planning,75
Media Production,74
2081,73
Computer & Network Security,71
Security & Investigations,71
406,71
Supermarkets,71
Market Research,69
1810,69
Environmental Services,68
Utilities,68
Computer Networking,67
Import & Export,63
Public Relations & Communications,61
1445,60
1594,60
