category,value
Sales,5956
Operations,4297
Human Resources,3472
Business Development,3176
Customer Success and Support,1490
Finance,1384
Engineering,1194
Marketing,1141
Information Technology,1056
Arts and Design,755
Accounting,672
Purchasing,540
Program and Project Management,498
Consulting,466
Administrative,437
Education,374
Media and Communication,349
Product Management,304
Quality Assurance,294
Real Estate,241
Research,228
Community and Social Services,186
Entrepreneurship,144
Legal,119
Military and Protective Services,108
Healthcare Services,66
