category,value
Greater Delhi Area,5640
"Dubai, Dubai, United Arab Emirates",1984
Greater Bengaluru Area,1616
Mumbai Metropolitan Region,1023
Greater Hyderabad Area,761
"Noida, Uttar Pradesh, India",666
"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",479
"Cairo, Egypt",407
Greater Chennai Area,368
Greater Kolkata Area,362
"Karāchi, Sindh, Pakistan",295
Greater Ahmedabad Area,254
Pune/Pimpri-Chinchwad Area,254
Greater Jaipur Area,239
Greater Lucknow Area,235
"Sharjah, Sharjah Emirate, United Arab Emirates",221
"Lahore, Punjab, Pakistan",197
Makkah Region,165
"Faridabad, Haryana, India",131
"Doha, Qatar",123
Riyadh Region,118
"Muscat, Masqaţ, Oman",107
Greater Indore Area,104
"London Area, United Kingdom",100
"Lahore District, Punjab, Pakistan",93
Greater Bhopal Area,82
Greater Coimbatore Area,81
"Kochi, Kerala, India",73
Greater Allahabad Area,73
"Greater Toronto Area, Canada",72
"Karachi Division, Sindh, Pakistan",69
Greater Nagpur Area,69
"Bhubaneswar, Odisha, India",65
Greater Patna Area,65
Greater Agra Area,63
"Dammam, Eastern, Saudi Arabia",61
"Alexandria, Egypt",56
"Colombo, Western Province, Sri Lanka",47
New York City Metropolitan Area,46
Amritsar/Ludhiana Area,45
Greater Vadodara Area,44
"Islamabad, Islāmābād, Pakistan",44
Greater Surat Area,42
"Al Mu'tarid, Abu Dhabi Emirate, United Arab Emirates",40
Greater Istanbul,39
"Kanpur, Uttar Pradesh, India",38
Dhanbad-Ranchi Area,37
"Al Khobar, Eastern, Saudi Arabia",37
"Chandigarh, Chandigarh, India",36
"Manama, Capital Governorate, Bahrain",35
"Jamshedpur, Jharkhand, India",35
Kuwait City Metropolitan Area,34
"Al Wathbah, Abu Dhabi Emirate, United Arab Emirates",33
Greater Raipur Area,32
"Giza, Al Jizah, Egypt",31
Johannesburg Metropolitan Area,31
"Guwahati, Assam, India",30
Singapore,30
Eastern Region,28
Berlin Metropolitan Area,28
Doha Metropolitan Area,27
Greater Melbourne Area,27
"Trivandrum, Kerala, India",27
Greater Gwalior Area,27
Grand Tunis Metropolitan Area,25
"Amman, Amman, Jordan",25
Greater Sydney Area,24
"Beirut, Beirut Governorate, Lebanon",24
"Ajman, Ajman Emirate, United Arab Emirates",24
"Kozhikode, Kerala, India",24
"Udaipur, Rajasthan, India",23
"Nairobi County, Kenya",23
Greater Rajkot Area,23
Greater Paris Metropolitan Region,23
San Francisco Bay Area,22
Greater Dublin,22
Greater Jabalpur Area,22
Greater Srinagar Area,22
"City of Cape Town, Western Cape, South Africa",22
Bangkok Metropolitan Area,20
"Pune City, Maharashtra, India",20
Greater Madurai Area,20
Casablanca Metropolitan Area,19
"Mangaluru, Karnataka, India",19
"Dehradun, Uttarakhand, India",19
Jakarta Metropolitan Area,18
"Multan, Punjab, Pakistan",18
Greater Nashik Area,18
"Kanayannur, Kerala, India",17
Greater Aurangabad Area,17
Lisbon Metropolitan Area,16
Metro Manila,16
Greater Kuala Lumpur,16
"The Randstad, Netherlands",15
Greater Munich Metropolitan Area,15
Greater Montreal Metropolitan Area,15
"Rewari, Haryana, India",14
Greater Vijayawada District,14
Los Angeles Metropolitan Area,14
"Tehran, Tehran Province, Iran",14
