category,value
Information Technology & Services,5720
Automotive,4809
Internet,4688
Management Consulting,3625
Financial Services,3243
Logistics & Supply Chain,2442
Retail,2407
Computer Software,2078
Banking,1460
Accounting,1438
Marketing & Advertising,1353
1862,1121
Human Resources,1101
Real Estate,943
1292,939
Higher Education,878
1999,767
Industrial Automation,713
Education Management,665
Hospital & Health Care,644
Consumer Services,618
Oil & Energy,589
Staffing & Recruiting,577
2226,545
Consumer Goods,486
Food & Beverages,461
Hospitality,451
Insurance,451
Design,428
Apparel & Fashion,393
Graphic Design,367
Telecommunications,362
Mechanical Or Industrial Engineering,356
"Leisure, Travel & Tourism",334
Construction,331
Non-profit Organization Management,307
Electrical & Electronic Manufacturing,305
3242,288
Program Development,275
2458,271
Media Production,263
1594,248
Public Relations & Communications,229
Entertainment,222
Airlines/Aviation,216
E-learning,202
Market Research,196
1285,193
Events Services,191
Legal Services,186
Photography,174
1912,160
Venture Capital & Private Equity,160
Investment Management,151
Professional Training & Coaching,151
1128,149
Computer & Network Security,146
Government Administration,145
Outsourcing/Offshoring,143
"Health, Wellness & Fitness",140
Primary/Secondary Education,139
3129,131
Facilities Services,130
Food Production,129
Import & Export,129
Pharmaceuticals,122
International Trade & Development,117
Luxury Goods & Jewelry,115
2375,109
Broadcast Media,104
Writing & Editing,98
1916,97
Investment Banking,92
Online Media,91
Information Services,90
Consumer Electronics,88
Research,87
1770,84
1339,83
3127,80
2401,77
1042,74
Wholesale,72
722,68
Civil Engineering,64
Warehousing,54
1810,54
Architecture & Planning,53
2018,53
Environmental Services,53
Transportation/Trucking/Railroad,52
Restaurants,52
3102,52
2133,50
Machinery,47
Motion Pictures & Film,46
Chemicals,45
3106,45
Supermarkets,44
3105,44
Mobile Games,43
Law Practice,42
Aviation & Aerospace,42
901,42
