category,value
Sales,5822
Business Development,4652
Operations,4112
Marketing,2296
Engineering,2178
Customer Success and Support,1684
Human Resources,1677
Information Technology,1631
Finance,1567
Arts and Design,966
Accounting,898
Product Management,887
Research,800
Media and Communication,732
Consulting,714
Administrative,691
Program and Project Management,651
Education,455
Purchasing,359
Quality Assurance,325
Community and Social Services,217
Entrepreneurship,190
Real Estate,159
Legal,124
Military and Protective Services,95
Healthcare Services,64
