category,value
Greater Delhi Area,10261
"Dubai, Dubai, United Arab Emirates",4195
Greater Bengaluru Area,3659
Mumbai Metropolitan Region,2132
Greater Hyderabad Area,909
"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",773
"Noida, Uttar Pradesh, India",511
Greater Chennai Area,469
"Sharjah, Sharjah Emirate, United Arab Emirates",464
Pune/Pimpri-Chinchwad Area,432
Greater Kolkata Area,424
Greater Jaipur Area,349
Greater Ahmedabad Area,329
Amritsar/Ludhiana Area,312
"London Area, United Kingdom",303
Greater Lucknow Area,213
Greater Allahabad Area,193
Greater Nagpur Area,192
"Faridabad, Haryana, India",177
"Kochi, Kerala, India",157
"Greater Toronto Area, Canada",155
"Cairo, Cairo, Egypt",137
Riyadh Region,123
Greater Coimbatore Area,116
Makkah Region,115
"Muscat, Masqaţ, Oman",113
"Mangaluru, Karnataka, India",113
Greater Melbourne Area,111
Greater Bhopal Area,106
"Karāchi, Sindh, Pakistan",105
Greater Agra Area,104
Greater Indore Area,97
Greater Surat Area,95
"Al Wathbah, Abu Dhabi Emirate, United Arab Emirates",86
Greater Patna Area,82
"Trivandrum, Kerala, India",80
"Bhubaneswar, Odisha, India",77
"Jamshedpur, Jharkhand, India",76
Dhanbad-Ranchi Area,74
"Al Mu'tarid, Abu Dhabi Emirate, United Arab Emirates",73
Berlin Metropolitan Area,73
"Lahore, Punjab, Pakistan",72
New York City Metropolitan Area,70
Greater Gwalior Area,69
"Kanpur, Uttar Pradesh, India",68
"Chandigarh, Chandigarh, India",67
Kuwait City Metropolitan Area,60
"Udaipur, Rajasthan, India",60
Greater Istanbul,57
San Francisco Bay Area,56
"Dehradun, Uttarakhand, India",55
Greater Dublin,54
"Kharagpur-I, West Bengal, India",53
Greater Sydney Area,51
Greater Leicester Area,50
"Markaz El Qossia, Asyut, Egypt",48
"Kozhikode, Kerala, India",45
"Ajman, Ajman Emirate, United Arab Emirates",44
Greater Madurai Area,44
"Dehra Dun, Uttarakhand, India",43
"Islamabad, Islāmābād, Pakistan",39
"Singapore, Singapore",38
Greater Srinagar Area,38
Doha Metropolitan Area,36
"Kanayannur, Kerala, India",35
Greater Vadodara Area,35
Metro Manila,34
Guangzhou-Foshan Metropolitan Area,32
"Tiruchirappalli, Tamil Nadu, India",32
"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",32
"Bareilly, Uttar Pradesh, India",32
"Lahore District, Punjab, Pakistan",32
Greater Raipur Area,31
"Pune City, Maharashtra, India",31
Greater Rajkot Area,30
Johannesburg Metropolitan Area,30
Greater Jodhpur Area,30
"Beirut, Beirut Governorate, Lebanon",29
"Guwahati, Assam, India",28
Greater Vancouver Metropolitan Area,28
Greater Barcelona Metropolitan Area,28
"Birmingham, England, United Kingdom",28
"Caloocan City, National Capital Region, Philippines",27
"Bahadurgarh, Haryana, India",27
Greater Chicago Area,27
"Thrissur, Kerala, India",27
"Malappuram, Kerala, India",27
Greater Paris Metropolitan Region,27
Los Angeles Metropolitan Area,27
"Manama, Capital Governorate, Bahrain",27
"Udupi, Karnataka, India",26
"Dammam, Eastern, Saudi Arabia",25
"Karachi Division, Sindh, Pakistan",23
"Ambala, Haryana, India",23
"Patiala, Punjab, India",23
Greater Milan Metropolitan Area,23
"Jammu, Jammu & Kashmir, India",22
Greater Seattle Area,21
Amsterdam Area,21
"Pilani, Rajasthan, India",21
"Kunnathur, Kerala, India",21
"Amman, Amman, Jordan",20
"Beawar, Rajasthan, India",19
Casablanca Metropolitan Area,19
