category,value
Information Technology & Services,4800
Internet,3221
Automotive,2837
Computer Software,2378
Management Consulting,2313
Financial Services,2168
Banking,1858
Marketing & Advertising,1605
Accounting,1159
Logistics & Supply Chain,1102
Retail,976
Real Estate,869
1292,836
Higher Education,808
1862,770
1999,742
Insurance,671
Telecommunications,622
Consumer Goods,620
Education Management,613
E-learning,576
"Leisure, Travel & Tourism",567
Hospitality,566
Hospital & Health Care,561
Electrical & Electronic Manufacturing,536
Outsourcing/Offshoring,527
1285,525
1673,485
1916,473
Staffing & Recruiting,444
Consumer Services,413
Airlines/Aviation,396
Food & Beverages,395
Transportation/Trucking/Railroad,366
Human Resources,357
Construction,350
Oil & Energy,350
Apparel & Fashion,347
1725,340
Capital Markets,323
Mechanical Or Industrial Engineering,313
"Health, Wellness & Fitness",304
Legal Services,291
3132,266
3102,264
Design,262
Pharmaceuticals,261
Investment Management,256
Government Administration,247
Food Production,231
Media Production,231
Non-profit Organization Management,224
1770,215
Professional Training & Coaching,213
Computer & Network Security,201
Information Services,190
Entertainment,185
Machinery,181
Industrial Automation,180
Market Research,178
Chemicals,178
Building Materials,176
1594,163
Computer Networking,162
Publishing,157
Textiles,155
Medical Device,153
Events Services,151
2194,151
Supermarkets,150
Mining & Metals,149
Civil Engineering,149
Broadcast Media,137
Luxury Goods & Jewelry,132
Restaurants,131
1644,129
Utilities,128
Program Development,125
Consumer Electronics,124
2226,122
1810,122
1042,122
387,119
3242,115
1128,114
1339,111
2458,111
Cosmetics,110
1925,107
3128,107
Graphic Design,107
Executive Office,106
3124,105
Maritime,104
Aviation & Aerospace,104
Package/Freight Delivery,104
Facilities Services,101
Online Media,100
International Trade & Development,100
Research,99
