category,value
Sales,6129
Operations,6049
Business Development,4972
Marketing,3004
Finance,2624
Customer Success and Support,2334
Information Technology,2192
Engineering,1876
Arts and Design,1807
Human Resources,1659
Accounting,1443
Media and Communication,1361
Program and Project Management,916
Consulting,828
Education,796
Administrative,689
Research,667
Quality Assurance,562
Product Management,477
Purchasing,443
Community and Social Services,326
Legal,260
Entrepreneurship,203
Military and Protective Services,169
Real Estate,138
Healthcare Services,98
