category,value
Greater Delhi Area,20393
Greater Bengaluru Area,3542
Greater Melbourne Area,2679
Mumbai Metropolitan Region,1966
"Noida, Uttar Pradesh, India",1940
Greater Hyderabad Area,1252
Greater Sydney Area,1237
Greater Kolkata Area,1104
Greater Lucknow Area,760
Greater Jaipur Area,725
Greater Chennai Area,682
Pune/Pimpri-Chinchwad Area,657
"Faridabad, Haryana, India",569
Greater Ahmedabad Area,562
Greater Indore Area,466
Greater Brisbane Area,367
Greater Allahabad Area,260
Greater Agra Area,237
Amritsar/Ludhiana Area,236
Greater Bhopal Area,236
Greater Patna Area,217
Greater Coimbatore Area,186
Greater Nagpur Area,179
"Kanpur, Uttar Pradesh, India",164
Jakarta Metropolitan Area,154
Dhanbad-Ranchi Area,149
"London Area, United Kingdom",148
"Bhubaneswar, Odisha, India",141
Greater Perth Area,140
"Dubai, Dubai, United Arab Emirates",136
Greater Adelaide Area,135
"Karāchi, Sindh, Pakistan",130
Greater Raipur Area,126
"Chandigarh, Chandigarh, India",125
"Guwahati, Assam, India",124
Singapore,121
Greater Vadodara Area,118
Johannesburg Metropolitan Area,116
Greater Gwalior Area,116
Metro Manila,114
"Kochi, Kerala, India",107
Greater Surat Area,101
"Jamshedpur, Jharkhand, India",100
Greater Srinagar Area,98
Makkah Region,97
Greater Kuala Lumpur,96
"Doha, Qatar",93
"Lahore, Punjab, Pakistan",92
"Greater Toronto Area, Canada",84
"Nairobi County, Kenya",79
Riyadh Region,78
"Colombo, Western Province, Sri Lanka",76
"Dehradun, Uttarakhand, India",73
Greater Jabalpur Area,65
Greater Rajkot Area,64
"Cairo, Egypt",61
Bangkok Metropolitan Area,61
Gold Coast,53
Greater Jodhpur Area,53
New York City Metropolitan Area,53
"Hisar, Haryana, India",51
"Bareilly, Uttar Pradesh, India",51
"Rohtak, Haryana, India",51
Greater Vijayawada District,50
"Melbourne, Victoria, Australia",49
"Lahore District, Punjab, Pakistan",46
"Sonipat, Haryana, India",46
Greater Dublin,45
"Rewari, Haryana, India",45
Auckland Metropolitan Area,44
"Trivandrum, Kerala, India",43
"Pune City, Maharashtra, India",43
"Udaipur, Rajasthan, India",42
Greater Madurai Area,42
"Gorakhpur, Uttar Pradesh, India",42
"Panipat, Haryana, India",41
"Karnal, Haryana, India",40
"Mohali district, India",40
"Karachi Division, Sindh, Pakistan",40
"City of Cape Town, Western Cape, South Africa",39
"Jammu, Jammu & Kashmir, India",39
Greater Canberra Area,39
"Muscat, Masqaţ, Oman",38
"Patna, Bihar, India",37
Greater Istanbul,36
Berlin Metropolitan Area,36
Durban Metropolitan Area,34
"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",34
"Cocoroc, Victoria, Australia",33
"Moradabad, Uttar Pradesh, India",33
"Ambala, Haryana, India",32
"Dammam, Eastern, Saudi Arabia",32
"Islamabad, Islāmābād, Pakistan",32
Greater Nashik Area,31
Greater Munich Metropolitan Area,31
Doha Metropolitan Area,31
San Francisco Bay Area,31
Greater Visakhapatnam Area,30
"Kathmandu, Bāgmatī, Nepal",30
Greater Paris Metropolitan Region,30
