category,value
Information Technology & Services,3964
Internet,3321
Management Consulting,2191
Financial Services,1987
Computer Software,1643
Automotive,1496
Marketing & Advertising,1098
1862,1030
Retail,887
Logistics & Supply Chain,746
Accounting,729
1999,638
Design,611
Higher Education,564
Staffing & Recruiting,483
Human Resources,469
2458,457
Non-profit Organization Management,411
Banking,390
Education Management,373
Hospital & Health Care,357
1292,338
Real Estate,325
Consumer Goods,271
Hospitality,261
1594,251
Insurance,231
Media Production,228
Law Practice,222
Electrical & Electronic Manufacturing,217
Graphic Design,216
Legal Services,209
Consumer Services,207
Apparel & Fashion,197
Construction,188
"Leisure, Travel & Tourism",181
Telecommunications,179
Program Development,176
E-learning,164
Food & Beverages,162
"Health, Wellness & Fitness",158
Writing & Editing,152
Mental Health Care,144
Industrial Automation,144
Public Relations & Communications,142
Mechanical Or Industrial Engineering,136
Market Research,134
Primary/Secondary Education,129
Online Media,128
Venture Capital & Private Equity,128
Outsourcing/Offshoring,124
Government Administration,116
Photography,106
2226,100
Broadcast Media,97
3242,94
Oil & Energy,93
Mobile Games,90
Entertainment,85
Motion Pictures & Film,85
1285,84
Investment Banking,81
1495,80
Food Production,74
Research,71
1810,68
Transportation/Trucking/Railroad,65
Investment Management,65
Pharmaceuticals,64
Medical Device,63
Computer & Network Security,62
3129,62
Computer Networking,53
Consumer Electronics,51
3241,50
Architecture & Planning,50
Airlines/Aviation,49
Wholesale,49
Civic & Social Organization,46
Civil Engineering,46
Printing,45
Sports,43
Luxury Goods & Jewelry,43
3101,43
Commercial Real Estate,42
Professional Training & Coaching,39
Facilities Services,37
Animation,37
Information Services,36
3128,35
1912,35
2375,35
2401,35
Computer Games,35
3106,34
3133,32
3127,32
3126,32
Business Supplies & Equipment,31
1042,31
Government Relations,29
Aviation & Aerospace,29
Chemicals,29
2142,29
