category,value
Business Development,3209
Sales,2207
Operations,1934
Marketing,1582
Engineering,1350
Arts and Design,1044
Media and Communication,1031
Information Technology,998
Human Resources,923
Finance,761
Research,757
Consulting,733
Product Management,666
Customer Success and Support,562
Program and Project Management,407
Education,384
Administrative,355
Entrepreneurship,290
Quality Assurance,158
Community and Social Services,152
Purchasing,146
Accounting,135
Legal,131
Real Estate,57
Healthcare Services,52
Military and Protective Services,9
