category,value
Greater Delhi Area,11161
Greater Melbourne Area,4187
Greater Sydney Area,3745
Greater Bengaluru Area,2261
Mumbai Metropolitan Region,998
"Noida, Uttar Pradesh, India",812
Greater Hyderabad Area,475
Greater Brisbane Area,453
Greater Jaipur Area,429
Greater Kolkata Area,292
Greater Ahmedabad Area,234
Greater Chennai Area,211
Greater Allahabad Area,203
Pune/Pimpri-Chinchwad Area,198
Greater Lucknow Area,171
"London Area, United Kingdom",160
"Faridabad, Haryana, India",153
"Baraut, Uttar Pradesh, India",133
Greater Indore Area,129
"Dehradun, Uttarakhand, India",124
"Chandigarh, Chandigarh, India",112
"Jamshedpur, Jharkhand, India",109
San Francisco Bay Area,106
New York City Metropolitan Area,104
"Dubai, Dubai, United Arab Emirates",103
Greater Adelaide Area,97
Greater Patna Area,86
Greater Bhopal Area,85
Metro Manila,82
Greater Perth Area,79
Greater Gwalior Area,79
"Singapore, Singapore",73
"Kanpur, Uttar Pradesh, India",72
Greater Surat Area,66
Greater Agra Area,66
Amritsar/Ludhiana Area,65
"Belmont, Victoria, Australia",60
"Werribee South, Victoria, Australia",51
Gold Coast,50
"Greater Toronto Area, Canada",49
"Colombo, Western Province, Sri Lanka",49
Greater Coimbatore Area,49
"Bhubaneswar, Odisha, India",48
Greater Jodhpur Area,46
Greater Vadodara Area,46
Wollongong Area,41
"Wedderburn, New South Wales, Australia",41
"Cocoroc, Victoria, Australia",40
"Bahadurgarh, Haryana, India",39
Greater Nagpur Area,37
Greater Canberra Area,37
Dhanbad-Ranchi Area,36
Greater Kuala Lumpur,36
"Moradabad, Uttar Pradesh, India",34
"Kochi, Kerala, India",32
"Rohtak, Haryana, India",32
Hanoi Capital Region,32
Greater Raipur Area,31
"Udaipur, Rajasthan, India",26
Ho Chi Minh City Metropolitan Area,26
Metro Cebu,25
"Bareilly, Uttar Pradesh, India",25
Jakarta Metropolitan Area,25
Washington DC-Baltimore Area,24
"Belconnen, Australian Capital Territory, Australia",24
"Panipat, Haryana, India",23
Berlin Metropolitan Area,22
"Manchester Area, United Kingdom",22
"Kozhikode, Kerala, India",21
Greater Visakhapatnam Area,20
"Jammu, Jammu & Kashmir, India",20
Greater Montreal Metropolitan Area,20
"Mangaluru, Karnataka, India",20
Amsterdam Area,19
"Kharagpur-I, West Bengal, India",19
"Pipli, Haryana, India",19
"Hisar, Haryana, India",19
Greater Jabalpur Area,19
Greater Seattle Area,18
Greater Dublin,18
"Geelong, Victoria, Australia",18
Dallas-Fort Worth Metroplex,18
"Guwahati, Assam, India",17
"Karnal, Haryana, India",17
"Mohali district, India",17
"Siliguri, West Bengal, India",16
"Austin, Texas Metropolitan Area",16
"Muzaffarnagar, Uttar Pradesh, India",16
"Auckland, Auckland, New Zealand",16
Johannesburg Metropolitan Area,16
Greater Srinagar Area,16
Warsaw Metropolitan Area,15
"Patiala, Punjab, India",15
"Wongawallan, Queensland, Australia",15
"Bath, England, United Kingdom",14
"Ambala, Haryana, India",14
"Dhaka, Dhaka, Bangladesh",14
"Itanagar, Arunachal Pradesh, India",14
"Bhiwani, Haryana, India",13
"Dharamshala, Himachal Pradesh, India",13
Riyadh Region,13
"Rewari, Haryana, India",13
Greater Madurai Area,13
Greater Aurangabad Area,13
