LinkedIn export

Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
Now all you need is the right car.,https://www.linkedin.com/feed/update/urn:li:activity:7478706070970855424,Organic,,Sakshi Agarwal ,07/03/2026,,,All followers,6111,,,160,0.02618229389190674,53,13,1,,0.037146128714084625,
"The freedom to be exactly who you are is still unevenly handed out in this world. We won't pretend we can fix that everywhere. But where we have a say, we intend to 🏳️‍🌈 

That includes who we build with.

If you're looking for a workplace where authenticity isn't something you leave at the door, we'd love to hear from you. Share your details with us here, and if there's an opportunity that's a good fit, our Talent team will be in touch.

Apply here: https://bit.ly/3SRtZOG",https://www.linkedin.com/feed/update/urn:li:activity:7477324163188293632,Organic,,Sakshi Agarwal ,06/29/2026,,,All followers,4291,1860.0,,416,0.0969470962882042,50,14,8,,0.113726407289505,Video
"For Father’s Day, we sat down with some of the dads at Cars24 and got them talking about one of the most meaningful chapters of their lives.

The result is simple, honest and heartwarming. 💙
",https://www.linkedin.com/feed/update/urn:li:activity:7474796341735342080,Organic,,Sakshi Agarwal ,06/22/2026,,,All followers,7649,2133.0,,321,0.0419662706553936,35,38,2,,0.05177147313952446,Video
The only assistance program that actually matters. Happy Father's Day 💙,https://www.linkedin.com/feed/update/urn:li:activity:7474349485159100416,Organic,,Sakshi Agarwal ,06/21/2026,,,All followers,8351,,,694,0.08310382068157196,78,26,9,,0.0966351330280304,
We all know whose desk this is 👇,https://www.linkedin.com/feed/update/urn:li:activity:7470765566593785856,Organic,,Sakshi Agarwal ,06/11/2026,,,All followers,81968,,,6027,0.07352869212627411,205,26,2,,0.07637126743793488,
"Crashfree India is hosting an open session for anyone curious about or actively navigating Careers in Social Impact - regardless of where you currently are in your professional journey.

By the end of the session, you will have:
- A clear understanding of how public systems and implementation ecosystems operate in practice
- A mapped view of career pathways across policy, governance, research and consulting
- Clarity on what roles, organizations and entry points exist within the social impact and development sector
- Practical insight into how policy problems are identified, framed and taken to implementation
- A stronger sense of where you fit and how to position yourself within this space

If you know students, researchers, or early-career professionals who would genuinely benefit from this exposure - do pass this along.

Reserve your spot here: https://lnkd.in/gByW3MFj

Vikram Gajendra Ruchit Shubham",https://www.linkedin.com/feed/update/urn:li:activity:7468179625131552768,Organic,,Sakshi Agarwal ,06/04/2026,,,All followers,8083,,,166,0.02053692936897278,24,33,1,,0.02771248295903206,
Not sure if we can call this a collab 😅 ,https://www.linkedin.com/feed/update/urn:li:activity:7466005446013734913,Organic,,Sakshi Agarwal ,05/29/2026,,,All followers,12518,4071.0,,492,0.03930340334773064,91,64,6,,0.05216488242149353,Video
"Our Video & Design crew took a detour to the Adobe India office for 'Adobe’s Day Out.' A day packed with new workflows, creative tech, and fresh inspiration to keep our visuals running at top speed.

Thanks for hosting us, Amit Singh & Debjani 🙌🏼",https://www.linkedin.com/feed/update/urn:li:activity:7464563063879270401,Organic,,Sakshi Agarwal ,05/25/2026,,,All followers,14797,,,995,0.06724335998296738,122,79,8,,0.0813678428530693,
"""Why do Indians wait months to buy a car and is the wait actually worth it?""

This article unpacks the psychology behind India's long new car waiting periods - scarcity, FOMO, and emotional attachment, while making the case for why the booming used car market is becoming the smarter, faster alternative for today's buyers.

Do give it a read!",https://www.linkedin.com/feed/update/urn:li:activity:7459504218324770816,Organic,,Sakshi Agarwal ,05/11/2026,,,All followers,13833,12211.0,,173,0.012506325729191303,49,64,0,,0.02067519724369049,Article
"To the women who knew us before we knew ourselves. We spent the afternoon hosting our moms at the office, trading childhood stories, and realizing that every bit of our success started with them. It was a beautiful reminder that while we’re busy building careers, they’re the ones who built the foundation. 💙",https://www.linkedin.com/feed/update/urn:li:activity:7459112589860687874,Organic,,Sakshi Agarwal ,05/10/2026,,,All followers,34527,,,16699,0.48365047574043274,376,26,2,,0.4953514635562897,
"Meet Manvi,

She’s not an engineer but she still built a tech tool with AI that’s now widely used across Cars24.

Because what she chose to do was simple - she noticed a problem and stayed with it long enough to figure out a solution. 

Everything began from a pattern she kept seeing internally on how good work kept getting lost.

The dashboards, reports, docs - all being created faster than ever with AI across teams, but shared in ways that didn’t last. On slack threads & random folders.

So she built a simple tool: HTMLHub. Upload a file, get a link, share it with context, keep it accessible. 

And 3 months later:
1000+ people using it internally
800+ uploads every month 

But what stands out isn’t just the adoption. It’s how one person, without a traditional tech background, saw a problem up close and built something to solve it

She showed us what really “Everyone is a builder” means in practice and we are proud of her.

Read her full story in the blog, link in the first comment below 👇 
https://lnkd.in/g6eji4gu",https://www.linkedin.com/feed/update/urn:li:activity:7458416712267325455,Organic,,Sakshi Agarwal ,05/08/2026,,,All followers,22242,,,648,0.029134070500731468,28,5,2,,0.030707670375704765,
I told my boss I wanted to 'draw' more engagement. I think I nailed it 😎 ,https://www.linkedin.com/feed/update/urn:li:activity:7457682087962374145,Organic,,Sakshi Agarwal ,05/06/2026,,,All followers,14984,,,403,0.02689535543322563,165,27,2,,0.03984249755740166,
"This is your last call.
TOKEN ’26 is almost full.
Show up. Build. Win ₹20L.

Apply here: token.cars24.com

OpenAI ElevenLabs Amazon Web Services (AWS)",https://www.linkedin.com/feed/update/urn:li:activity:7457340966845304832,Organic,,Sakshi Agarwal ,05/05/2026,,,All followers,10531,,,370,0.035134363919496536,54,8,14,,0.04235115274786949,
"This is your last call.
TOKEN ’26 is almost full.
Show up. Build. Win ₹20L.

Apply here: token.cars24.com

OpenAI ElevenLabs Amazon Web Services (AWS)",https://www.linkedin.com/feed/update/urn:li:activity:7457340966845304832,Sponsored,"Token Registeration Ads - May 13, 2026",Sakshi Agarwal ,05/05/2026,05/13/2026,05/20/2026,All followers,91354,,,256,0.00280228559859097,0,0,0,0.0,0.00280228559859097,
"This is your last call.
TOKEN ’26 is almost full.
Show up. Build. Win ₹20L.

Apply here: token.cars24.com

OpenAI ElevenLabs Amazon Web Services (AWS)",https://www.linkedin.com/feed/update/urn:li:activity:7457340966845304832,Total,,Sakshi Agarwal ,05/05/2026,,,All followers,101885,,,626,0.006144182290881872,54,8,14,0.0,0.006890121381729841,
"The bar was always high. They built it higher.

The Founders Awards are not about tenure. Not about titles. Not about who was in the room when the big decisions were made. They are about who made the big decisions feel possible, through clarity when things were murky, through courage when things were hard, through consistency when it would have been easier to look away.

0.1% of Cars24 received this honour. That number is small by design. Because what they represent is rare by nature.

Congratulations to every winner. You didn't just build Cars24. You became the reason others believe it can be built further.

Vikram Ruchit
Apoorv Manvi Utkarsh Naveen Sanyam Harshal Naveen Raman Akshay Shivdayal Akriti CHANDAN",https://www.linkedin.com/feed/update/urn:li:activity:7454431289929150464,Organic,,Sakshi Agarwal ,04/27/2026,,,All followers,55566,,,28278,0.5089083313941956,661,49,2,,0.5217218995094299,
We’re about to break the internet (and maybe build it again). Stay tuned 👾 ,https://www.linkedin.com/feed/update/urn:li:activity:7452253299543818240,Organic,,Sakshi Agarwal ,04/21/2026,,,All followers,9475,2583.0,,270,0.028496041893959045,83,26,5,,0.04052770510315895,Video
