category,value
Information Technology & Services,53269
Internet,34641
Computer Software,33069
Management Consulting,20717
Financial Services,17951
Banking,17455
Automotive,15869
Marketing & Advertising,9268
Accounting,7981
Logistics & Supply Chain,7012
Real Estate,6478
Retail,6364
Higher Education,5971
1673,5389
Telecommunications,5224
1999,4947
Insurance,4940
Consumer Goods,4791
Human Resources,4467
Education Management,4308
Electrical & Electronic Manufacturing,4268
1292,4197
1285,4185
Staffing & Recruiting,4184
Legal Services,3884
Hospital & Health Care,3831
1862,3619
E-learning,3460
Hospitality,3312
Capital Markets,3257
3102,3192
1725,3172
"Leisure, Travel & Tourism",3094
Computer Networking,3079
Computer & Network Security,3004
Food & Beverages,2929
Pharmaceuticals,2740
Apparel & Fashion,2567
Investment Management,2567
Oil & Energy,2519
Design,2517
3132,2439
Construction,2403
Consumer Services,2343
Mechanical Or Industrial Engineering,2337
Airlines/Aviation,2110
Outsourcing/Offshoring,2051
1916,2008
"Health, Wellness & Fitness",1915
Transportation/Trucking/Railroad,1892
Non-profit Organization Management,1773
Information Services,1679
Food Production,1668
Entertainment,1577
1770,1558
2458,1542
Market Research,1515
Building Materials,1513
3128,1505
Government Administration,1488
Professional Training & Coaching,1483
Law Practice,1469
Supermarkets,1444
Civil Engineering,1397
Chemicals,1319
Medical Device,1225
Machinery,1164
2194,1146
Industrial Automation,1143
Research,1131
1594,1095
Mining & Metals,1092
Consumer Electronics,1072
1644,1059
3242,1042
Events Services,1037
Textiles,1009
Restaurants,998
1042,957
Utilities,932
Luxury Goods & Jewelry,929
1810,925
1925,912
Media Production,906
Aviation & Aerospace,879
Program Development,878
Cosmetics,868
Broadcast Media,816
Semiconductors,810
Biotechnology,794
387,785
Package/Freight Delivery,783
Publishing,773
3130,773
3107,749
Graphic Design,745
Executive Office,733
Security & Investigations,723
International Trade & Development,691
1339,685
