category,value
Engineering,56412
Sales,42531
Business Development,37621
Human Resources,32000
Operations,31448
Information Technology,23908
Marketing,16958
Finance,14405
Arts and Design,13351
Product Management,11988
Consulting,10123
Program and Project Management,8903
Customer Success and Support,8233
Research,8004
Accounting,6146
Education,5507
Administrative,4830
Media and Communication,4637
Quality Assurance,4542
Legal,3887
Purchasing,2999
Community and Social Services,2266
Entrepreneurship,1708
Military and Protective Services,1026
Real Estate,927
Healthcare Services,762
