category,value
Greater Delhi Area,150544
Greater Bengaluru Area,53168
Mumbai Metropolitan Region,27354
"Noida, Uttar Pradesh, India",20591
Greater Hyderabad Area,15345
Greater Kolkata Area,11032
Greater Chennai Area,9345
Pune/Pimpri-Chinchwad Area,9158
Greater Jaipur Area,7582
Greater Ahmedabad Area,6668
Greater Lucknow Area,6147
Greater Indore Area,4646
"Faridabad, Haryana, India",3888
Bangkok Metropolitan Area,2788
Greater Patna Area,2441
Greater Allahabad Area,2342
Greater Bhopal Area,2089
Greater Nagpur Area,1966
Greater Agra Area,1871
"Bhubaneswar, Odisha, India",1663
Greater Coimbatore Area,1614
Amritsar/Ludhiana Area,1530
"Dubai, Dubai, United Arab Emirates",1368
"Kanpur, Uttar Pradesh, India",1346
Dhanbad-Ranchi Area,1275
Greater Surat Area,1262
"London Area, United Kingdom",1241
Greater Raipur Area,1152
Jakarta Metropolitan Area,1132
"Chandigarh, Chandigarh, India",1131
Makkah Region,1073
"Greater Toronto Area, Canada",1072
Greater Vadodara Area,1030
Riyadh Region,918
Greater Gwalior Area,915
"Guwahati, Assam, India",792
Greater Melbourne Area,757
"Kochi, Kerala, India",726
New York City Metropolitan Area,690
"Cairo, Egypt",686
San Francisco Bay Area,650
Greater Rajkot Area,650
"Jamshedpur, Jharkhand, India",603
"Pune City, Maharashtra, India",585
"Dehradun, Uttarakhand, India",562
Singapore,557
Greater Jabalpur Area,521
Greater Nashik Area,513
Greater Jodhpur Area,492
Greater Sydney Area,486
"Udaipur, Rajasthan, India",476
Greater Vijayawada District,472
Greater Madurai Area,441
Greater Srinagar Area,441
"Karāchi, Sindh, Pakistan",423
"Gorakhpur, Uttar Pradesh, India",405
"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",395
Greater Aurangabad Area,374
Greater Dublin,368
"Bareilly, Uttar Pradesh, India",363
"Patna, Bihar, India",362
"Lahore, Punjab, Pakistan",359
"Doha, Qatar",344
Berlin Metropolitan Area,333
"Rohtak, Haryana, India",331
Dallas-Fort Worth Metroplex,325
"Mohali district, India",318
"Hisar, Haryana, India",314
Greater Seattle Area,306
"Sonipat, Haryana, India",300
Greater Kuala Lumpur,280
"Jammu, Jammu & Kashmir, India",267
"Karnal, Haryana, India",256
"Panipat, Haryana, India",250
"Pimpri Chinchwad, Maharashtra, India",247
"Mysore, Karnataka, India",246
"Dammam, Eastern, Saudi Arabia",242
"The Randstad, Netherlands",240
"Rewari, Haryana, India",235
"Lahore District, Punjab, Pakistan",222
"Ambala, Haryana, India",221
"Ajmer, Rajasthan, India",218
"Moradabad, Uttar Pradesh, India",215
"Muscat, Masqaţ, Oman",214
"Al Khobar, Eastern, Saudi Arabia",210
"Trivandrum, Kerala, India",210
Greater Visakhapatnam Area,208
"Siliguri, West Bengal, India",205
Greater Munich Metropolitan Area,205
Eastern Region,205
Greater Vancouver Metropolitan Area,204
Greater Paris Metropolitan Region,200
Greater Chicago Area,200
Washington DC-Baltimore Area,199
Los Angeles Metropolitan Area,195
"Alwar, Rajasthan, India",195
Greater Boston,194
"Haridwar, Uttarakhand, India",190
"Nairobi County, Kenya",183
"Cuttack, Odisha, India",180
