LinkedIn export

Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
07/04/2025,233,436,669,188,347,533,0,0,0,0,0,0,65,506,571,58,290,348,533,1206,1739,192,478,667
07/05/2025,135,411,546,96,333,428,0,0,0,0,0,0,51,546,597,43,295,337,266,1256,1522,99,504,601
07/06/2025,105,391,496,86,305,390,0,0,0,0,0,0,56,590,646,46,324,369,273,1249,1522,90,485,573
07/07/2025,317,527,844,237,395,629,0,0,0,0,0,0,100,695,795,86,364,448,661,1590,2251,243,573,811
07/08/2025,356,485,841,244,390,632,0,0,0,0,0,0,87,627,714,71,346,417,706,1465,2171,250,580,827
07/09/2025,316,576,892,244,464,706,0,0,0,0,0,0,102,717,819,88,397,485,698,1646,2344,254,654,906
07/10/2025,255,492,747,181,379,559,0,0,0,0,0,0,89,574,663,70,350,420,511,1376,1887,187,556,741
07/11/2025,249,363,612,177,291,465,0,0,0,0,0,0,67,449,516,56,255,309,510,1052,1562,192,406,594
07/12/2025,113,314,427,77,216,292,0,0,0,0,0,0,33,296,329,28,177,205,219,782,1001,81,300,380
07/13/2025,113,403,516,87,305,390,0,0,0,0,0,0,57,482,539,44,279,322,273,1180,1453,92,434,524
07/14/2025,367,509,876,238,383,615,0,0,0,0,0,0,117,554,671,90,324,412,809,1390,2199,245,524,761
07/15/2025,265,475,740,182,370,550,0,0,0,0,0,0,92,518,610,70,298,367,592,1289,1881,192,491,679
07/16/2025,298,603,901,226,458,679,0,0,0,0,0,0,114,631,745,94,367,457,672,1599,2271,237,602,833
07/17/2025,292,538,830,212,419,628,0,0,0,0,0,0,97,593,690,81,335,416,660,1504,2164,219,574,789
