category,value
Information Technology & Services,129882
Computer Software,87800
Internet,76460
Financial Services,41687
Management Consulting,32392
Marketing & Advertising,20992
1862,20870
1999,18684
Accounting,17328
Higher Education,16292
Human Resources,14985
Education Management,14075
Logistics & Supply Chain,13635
Automotive,13466
Design,12771
Retail,11115
2458,10602
Banking,10122
Staffing & Recruiting,7047
Graphic Design,6674
Real Estate,6007
Hospital & Health Care,5801
Insurance,5701
Non-profit Organization Management,4958
Primary/Secondary Education,4527
E-learning,4491
Legal Services,4472
Hospitality,4262
Consumer Goods,4073
Market Research,4063
Law Practice,3662
Consumer Services,3655
Apparel & Fashion,3651
Food & Beverages,3563
Telecommunications,3339
"Leisure, Travel & Tourism",3317
Electrical & Electronic Manufacturing,3177
Industrial Automation,3006
Media Production,2954
1594,2941
Computer & Network Security,2830
3242,2641
3102,2404
1292,2398
"Health, Wellness & Fitness",2383
3106,2302
Mechanical Or Industrial Engineering,2268
Events Services,2116
Program Development,2046
1285,1996
Government Administration,1988
Public Relations & Communications,1936
Research,1887
Oil & Energy,1863
Entertainment,1754
Online Media,1725
Outsourcing/Offshoring,1713
3129,1678
Civil Engineering,1671
Mobile Games,1558
Writing & Editing,1487
Construction,1444
Animation,1427
Broadcast Media,1396
Investment Banking,1331
2401,1315
Information Services,1247
Food Production,1244
Venture Capital & Private Equity,1243
Airlines/Aviation,1221
Architecture & Planning,1162
3127,1156
Pharmaceuticals,1084
Motion Pictures & Film,969
Computer Games,951
Computer Networking,940
2375,924
1855,910
Biotechnology,902
Investment Management,902
3126,845
Civic & Social Organization,799
1810,799
2226,792
Professional Training & Coaching,783
Mental Health Care,771
Consumer Electronics,743
3133,705
3244,689
3103,623
Chemicals,619
3128,607
Aviation & Aerospace,589
Photography,583
Luxury Goods & Jewelry,583
3132,566
Facilities Services,552
Commercial Real Estate,545
3252,526
1359,522
Sports,513
3107,512
901,501
Mining & Metals,469
