category,value
Engineering,83210
Business Development,52879
Sales,39473
Operations,30417
Marketing,28781
Information Technology,25024
Human Resources,23635
Arts and Design,18601
Product Management,13575
Research,13046
Finance,12191
Media and Communication,11379
Education,10689
Consulting,9604
Customer Success and Support,7217
Program and Project Management,6844
Administrative,6401
Accounting,4670
Legal,3644
Quality Assurance,3174
Community and Social Services,2902
Entrepreneurship,2660
Purchasing,1362
Healthcare Services,790
Military and Protective Services,768
Real Estate,497
