category,value
Greater Delhi Area,310169
Greater Bengaluru Area,86323
Mumbai Metropolitan Region,41281
"Noida, Uttar Pradesh, India",36615
Greater Hyderabad Area,22028
Greater Jaipur Area,15888
Greater Kolkata Area,12218
Pune/Pimpri-Chinchwad Area,12027
Greater Ahmedabad Area,10927
Greater Lucknow Area,9050
Greater Chennai Area,8917
Greater Indore Area,7961
"Faridabad, Haryana, India",7467
Greater Allahabad Area,6724
"Kanpur, Uttar Pradesh, India",4951
Greater Agra Area,4885
Greater Patna Area,4609
Greater Bhopal Area,4552
Greater Gwalior Area,3853
Greater Nagpur Area,3629
Greater Surat Area,3526
Amritsar/Ludhiana Area,3458
Dhanbad-Ranchi Area,2910
"Bhubaneswar, Odisha, India",2544
Greater Raipur Area,2312
Greater Coimbatore Area,2287
Greater Vadodara Area,1984
"Chandigarh, Chandigarh, India",1968
"Dehradun, Uttarakhand, India",1954
San Francisco Bay Area,1709
"Dubai, Dubai, United Arab Emirates",1683
"London Area, United Kingdom",1597
Greater Jodhpur Area,1397
Greater Melbourne Area,1309
Greater Sydney Area,1304
"Jamshedpur, Jharkhand, India",1297
New York City Metropolitan Area,1263
Greater Jabalpur Area,1229
"Guwahati, Assam, India",1201
"Pune City, Maharashtra, India",1175
"Mohali district, India",1148
"Gorakhpur, Uttar Pradesh, India",1128
"Roorkee, Uttarakhand, India",1116
"Kochi, Kerala, India",1099
Greater Vijayawada District,1030
Greater Nashik Area,932
Greater Rajkot Area,925
"Bareilly, Uttar Pradesh, India",911
"Udaipur, Rajasthan, India",869
"Rohtak, Haryana, India",866
"Greater Toronto Area, Canada",828
"Kharagpur-I, West Bengal, India",768
"Jammu, Jammu & Kashmir, India",747
"Moradabad, Uttar Pradesh, India",744
"Sonipat, Haryana, India",713
"Ambala, Haryana, India",700
"Mangaluru, Karnataka, India",698
"Hisar, Haryana, India",696
"Haldwani, Uttarakhand, India",657
Bangkok Metropolitan Area,652
"Patiala, Punjab, India",633
"Ajmer, Rajasthan, India",599
Greater Aurangabad Area,588
"Panipat, Haryana, India",521
Greater Visakhapatnam Area,517
"Singapore, Singapore",511
"Sahibzada Ajit Singh Nagar, Punjab, India",500
Greater Madurai Area,495
"Karnal, Haryana, India",479
"Kozhikode, Kerala, India",477
"Mysore, Karnataka, India",477
"Alwar, Rajasthan, India",472
Berlin Metropolitan Area,464
Greater Seattle Area,429
"Kota, Rajasthan, India",416
"Muzaffarnagar, Uttar Pradesh, India",414
Dallas-Fort Worth Metroplex,410
"Jhansi, Uttar Pradesh, India",408
Greater Srinagar Area,408
"Saharanpur, Uttar Pradesh, India",403
Amsterdam Area,399
"Palwal, Haryana, India",399
"Rewari, Haryana, India",393
"Pimpri Chinchwad, Maharashtra, India",379
"Trivandrum, Kerala, India",378
"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",369
"Patna, Bihar, India",363
Jakarta Metropolitan Area,358
"Bhiwani, Haryana, India",352
Los Angeles Metropolitan Area,350
"Durgapur, West Bengal, India",333
"Sirsa, Haryana, India",328
"Siliguri, West Bengal, India",311
"Bahadurgarh, Haryana, India",302
Washington DC-Baltimore Area,295
"Haridwar, Uttarakhand, India",291
"Bhubaneshwar, Odisha, India",291
"Bharatpur, Rajasthan, India",272
"Amravati, Maharashtra, India",271
Greater Brisbane Area,267
"Raurkela, Odisha, India",264
"Hubli, Karnataka, India",258
Greater Paris Metropolitan Region,255
Riyadh Region,254
