month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2021-05,May'21,5,0.0,9.0,0,0,0,0,0,0,0,0,0,0,0,analytics,960,806357,271,73.69
2021-06,Jun'21,13774,56.9,14.0,0,0,0,0,0,2,0,0,3,3,0,analytics,960,806357,271,99.13
2021-07,Jul'21,36,0.1,11.0,1,0,1,2,0,2,0,0,0,0,0,analytics,960,806357,271,79.35
2021-08,Aug'21,43,0.1,12.0,0,0,0,0,0,0,0,0,0,0,0,analytics,960,806357,271,84.74
2021-09,Sep'21,1925370,8042.1,15.0,10,1,9,9,0,44,0,0,10,8,2,analytics,960,806357,271,100.14
2021-10,Oct'21,1201266,4982.6,14.0,42,8,34,54,5,31,0,0,0,0,0,analytics,960,806357,271,99.41
2021-11,Nov'21,623553,2595.7,14.0,6,1,5,9,1,11,0,0,1,0,1,analytics,960,806357,271,99.66
2021-12,Dec'21,127890,535.3,15.0,4,1,3,4,0,12,0,0,0,0,0,analytics,960,806357,271,98.95
2022-01,Jan'22,17545,78.3,16.0,8,2,6,6,0,24,0,0,1,1,0,analytics,960,806357,271,89.17
2022-02,Feb'22,210535,876.8,14.0,11,1,10,7,0,7,0,0,4,4,0,analytics,960,806357,271,99.25
2022-03,Mar'22,3038817,12399.5,14.0,6,0,6,7,0,10,0,0,1,1,0,analytics,960,806357,271,97.86
2022-04,Apr'22,2154437,8877.0,14.0,80,11,69,54,8,82,0,0,2,1,1,analytics,960,806357,271,98.68
2022-05,May'22,197366,1005.4,18.0,14,2,12,33,5,90,0,0,6,6,0,analytics,960,806357,271,95.25
2022-06,Jun'22,700387,2941.4,15.0,44,3,41,64,4,89,0,0,4,4,0,analytics,960,806357,271,97.29
2022-07,Jul'22,1108109,4587.6,14.0,73,11,62,67,12,139,0,0,0,0,0,analytics,960,806357,271,98.7
2022-08,Aug'22,5638,29.9,19.0,7,3,4,9,1,31,0,0,2,0,2,analytics,960,806357,271,79.27
2022-09,Sep'22,7745,52.8,24.0,13,7,6,4,1,33,0,0,1,0,1,analytics,960,806357,271,67.88
2022-10,Oct'22,179129,749.1,15.0,25,3,22,20,1,27,0,0,4,4,0,analytics,960,806357,271,94.18
2022-11,Nov'22,43240,181.1,15.0,12,3,9,12,1,20,0,0,0,0,0,analytics,960,806357,271,91.05
2022-12,Dec'22,1435,10.8,27.0,4,1,3,4,1,9,0,0,0,0,0,analytics,960,806357,271,42.99
2023-01,Jan'23,2846,15.4,19.0,2,1,1,5,1,5,0,0,0,0,0,analytics,960,806357,271,50.45
2023-02,Feb'23,1037,8.3,28.0,0,1,-1,0,0,17,0,0,1,0,1,analytics,960,806357,271,35.44
2023-03,Mar'23,1110,8.9,28.0,3,1,2,1,0,4,0,0,1,1,0,analytics,960,806357,271,34.42
2023-04,Apr'23,1071,9.0,30.0,2,2,0,0,0,7,0,0,0,0,0,analytics,960,806357,271,38.28
2023-05,May'23,6520,41.4,22.0,1,3,-2,1,0,5,0,0,1,1,0,analytics,960,806357,271,71.45
2023-06,Jun'23,2630,18.8,25.0,4,0,4,-3,0,7,0,0,1,1,0,analytics,960,806357,271,52.26
2023-07,Jul'23,1667,13.2,28.0,1,3,-2,0,0,29,0,0,0,0,0,analytics,960,806357,271,43.53
2023-08,Aug'23,5304,25.9,17.0,2,2,0,16,1,28,0,0,4,4,0,analytics,960,806357,271,62.62
2023-09,Sep'23,25731,109.1,15.0,6,4,2,176,2,15,0,0,4,4,0,analytics,960,806357,271,100.74
2023-10,Oct'23,14733,60.0,14.0,1,1,0,56,0,4,0,0,3,3,0,analytics,960,806357,271,78.47
2023-11,Nov'23,27005,107.7,14.0,6,5,1,133,0,27,0,0,1,1,0,analytics,960,806357,271,89.19
2023-12,Dec'23,37005,134.8,13.0,2,1,1,233,1,13,0,0,1,0,1,analytics,960,806357,271,107.02
2024-01,Jan'24,25203,104.5,14.0,5,2,3,125,0,8,0,0,1,0,1,analytics,960,806357,271,102.78
2024-02,Feb'24,30312,118.7,14.0,2,0,2,156,0,6,0,0,0,0,0,analytics,960,806357,271,102.49
2024-03,Mar'24,90439,382.7,15.0,11,1,10,166,1,15,0,0,7,7,0,analytics,960,806357,271,95.86
2024-04,Apr'24,98881,505.1,18.0,42,10,32,678,13,38,0,0,7,7,0,analytics,960,806357,271,80.72
2024-05,May'24,98185,691.3,25.0,85,28,57,1898,19,23,0,0,10,10,0,analytics,960,806357,271,76.24
2024-06,Jun'24,351530,1358.0,13.0,5,4,1,73,2,17,0,0,4,4,0,analytics,960,806357,271,91.82
2024-07,Jul'24,276809,1278.1,16.0,15,4,11,1449,9,16,0,0,21,21,0,analytics,960,806357,271,100.43
2024-08,Aug'24,202725,1427.4,25.0,45,10,35,3540,14,17,0,0,8,8,0,analytics,960,806357,271,133.49
2024-09,Sep'24,62877,387.6,22.0,5,3,2,617,0,4,0,0,0,0,0,analytics,960,806357,271,135.27
2024-10,Oct'24,40588,260.7,23.0,3,4,-1,597,1,5,0,0,0,0,0,analytics,960,806357,271,130.52
2024-11,Nov'24,96691,576.6,21.0,2,2,0,872,0,14,0,0,1,1,0,analytics,960,806357,271,118.32
2024-12,Dec'24,90454,622.8,24.0,8,3,5,1205,1,9,0,0,3,3,0,analytics,960,806357,271,133.14
2025-01,Jan'25,80457,501.7,22.0,4,2,2,1165,0,7,0,0,0,0,0,analytics,960,806357,271,129.1
2025-02,Feb'25,82894,515.4,22.0,1,2,-1,958,1,7,0,0,0,0,0,analytics,960,806357,271,131.11
2025-03,Mar'25,68584,402.7,21.0,13,3,10,577,3,21,0,0,2,1,1,analytics,960,806357,271,122.24
2025-04,Apr'25,73116,361.8,21.0,40,4,36,655,27,32,0,0,15,10,5,analytics,960,806357,271,68.44
2025-05,May'25,224796,1048.6,17.0,45,6,39,841,24,25,0,0,26,23,3,analytics,960,806357,271,79.7
