month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2016-06,Jun'16,33051,243.1,26.0,5,0,5,17,0,14,0,0,0,0,0,analytics,947000,1104024724,1126,89.3
2016-07,Jul'16,220881,1615.0,26.0,2,1,1,0,0,3,0,0,0,0,0,analytics,947000,1104024724,1126,88.84
2016-08,Aug'16,209320,1453.4,24.0,1,0,1,0,0,1,0,0,0,0,0,analytics,947000,1104024724,1126,84.39
2016-09,Sep'16,40830,290.3,25.0,5,0,5,2,0,5,0,0,0,0,0,analytics,947000,1104024724,1126,86.24
2016-10,Oct'16,205,1.6,27.0,1,0,1,2,0,0,0,0,0,0,0,analytics,947000,1104024724,1126,74.19
2016-11,Nov'16,234,1.9,29.0,6,0,6,3,0,2,0,0,0,0,0,analytics,947000,1104024724,1126,79.95
2016-12,Dec'16,247,1.9,27.0,2,0,2,0,0,0,0,0,0,0,0,analytics,947000,1104024724,1126,72.51
2017-01,Jan'17,492,6.5,47.0,0,0,0,4,0,5,0,0,0,0,0,analytics,947000,1104024724,1126,80.77
2017-02,Feb'17,396,3.8,34.0,2,0,2,1,1,2,0,0,0,0,0,analytics,947000,1104024724,1126,70.74
2017-03,Mar'17,633,7.5,42.0,4,0,4,3,0,10,0,0,0,0,0,analytics,947000,1104024724,1126,71.56
2017-04,Apr'17,4418,68.9,56.0,11,2,9,22,0,18,0,0,0,0,0,analytics,947000,1104024724,1126,67.32
2017-05,May'17,9305,153.3,59.0,29,2,27,31,2,31,0,0,0,0,0,analytics,947000,1104024724,1126,68.95
2017-06,Jun'17,14411,241.4,60.0,33,2,31,39,3,54,0,0,0,0,0,analytics,947000,1104024724,1126,70.24
2017-07,Jul'17,30971,463.0,53.0,130,8,122,155,13,176,0,0,0,0,0,analytics,947000,1104024724,1126,65.38
2017-08,Aug'17,43786,660.5,54.0,208,13,195,115,7,255,0,0,0,0,0,analytics,947000,1104024724,1126,63.27
2017-09,Sep'17,47273,715.7,54.0,184,11,173,142,4,254,0,0,0,0,0,analytics,947000,1104024724,1126,63.01
2017-10,Oct'17,66247,1006.5,54.0,260,14,246,190,6,334,0,0,0,0,0,analytics,947000,1104024724,1126,62.87
2017-11,Nov'17,81195,1235.5,54.0,313,18,295,260,11,354,0,0,0,0,0,analytics,947000,1104024724,1126,62.75
2017-12,Dec'17,88206,1353.4,55.0,483,23,460,384,11,536,0,0,0,0,0,analytics,947000,1104024724,1126,63.62
2018-01,Jan'18,998882,8911.1,32.0,451,24,427,349,6,576,0,0,0,0,0,analytics,947000,1104024724,1126,88.82
2018-02,Feb'18,4017973,33744.2,30.0,310,22,288,188,3,705,0,0,0,0,0,analytics,947000,1104024724,1126,94.75
2018-03,Mar'18,2181822,15653.0,25.0,365,28,337,249,8,435,0,0,0,0,0,analytics,947000,1104024724,1126,91.84
2018-04,Apr'18,91505,1319.8,51.0,289,24,265,195,13,295,0,0,0,0,0,analytics,947000,1104024724,1126,61.01
2018-05,May'18,110675,1612.3,52.0,357,37,320,293,6,419,0,0,0,0,0,analytics,947000,1104024724,1126,62.39
2018-06,Jun'18,117115,1768.2,54.0,467,38,429,319,14,421,0,0,0,0,0,analytics,947000,1104024724,1126,64.25
2018-07,Jul'18,125937,1976.4,56.0,539,45,494,396,10,584,0,0,0,0,0,analytics,947000,1104024724,1126,66.25
2018-08,Aug'18,113802,1766.7,55.0,432,38,394,391,13,539,0,0,0,0,0,analytics,947000,1104024724,1126,67.23
2018-09,Sep'18,6414164,21838.8,12.0,579,63,516,421,14,781,0,0,0,0,0,analytics,947000,1104024724,1126,94.39
2018-10,Oct'18,6272240,22438.7,12.0,504,69,435,327,27,491,0,0,0,0,0,analytics,947000,1104024724,1126,90.5
2018-11,Nov'18,111834,1758.1,56.0,485,60,425,322,10,513,0,0,0,0,0,analytics,947000,1104024724,1126,68.04
2018-12,Dec'18,105578,1659.6,56.0,448,88,360,371,16,519,0,0,0,0,0,analytics,947000,1104024724,1126,67.87
2019-01,Jan'19,101711,1584.2,56.0,536,53,483,325,21,526,0,0,0,0,0,analytics,947000,1104024724,1126,67.41
2019-02,Feb'19,12106129,199286.2,59.0,1438,122,1316,694,39,2202,0,0,0,0,0,analytics,947000,1104024724,1126,93.26
2019-03,Mar'19,12061641,146646.5,43.0,573,80,493,540,30,1482,0,0,0,0,0,analytics,947000,1104024724,1126,93.79
2019-04,Apr'19,114877,2167.6,67.0,609,77,532,468,22,483,0,0,0,0,0,analytics,947000,1104024724,1126,63.42
2019-05,May'19,622485,4451.6,25.0,391,64,327,308,21,437,0,0,0,0,0,analytics,947000,1104024724,1126,82.79
2019-06,Jun'19,2480342,15830.4,22.0,575,67,508,395,17,532,0,0,0,0,0,analytics,947000,1104024724,1126,91.28
2019-07,Jul'19,4983914,73880.8,53.0,372,58,314,269,15,396,0,0,0,0,0,analytics,947000,1104024724,1126,88.72
2019-08,Aug'19,10360670,49329.3,17.0,390,50,340,555,18,770,0,0,0,0,0,analytics,947000,1104024724,1126,91.87
2019-09,Sep'19,3317301,19202.7,20.0,839,80,759,621,33,697,0,0,0,0,0,analytics,947000,1104024724,1126,90.93
2019-10,Oct'19,1417819,13103.0,33.0,2393,136,2257,994,12,1558,0,0,0,0,0,analytics,947000,1104024724,1126,64.45
2019-11,Nov'19,1715772,26671.5,55.0,308,58,250,285,13,489,0,0,0,0,0,analytics,947000,1104024724,1126,88.16
2019-12,Dec'19,236414,2683.1,40.0,280,47,233,265,41,307,0,0,0,0,0,analytics,947000,1104024724,1126,76.79
2020-01,Jan'20,69887,1259.8,64.0,358,68,290,328,10,473,0,0,0,0,0,analytics,947000,1104024724,1126,48.36
2020-02,Feb'20,347327,1774.6,18.0,1470,74,1396,1180,28,885,0,0,0,0,0,analytics,947000,1104024724,1126,48.52
2020-03,Mar'20,48187,763.4,57.0,193,56,137,150,3,248,0,0,0,0,0,analytics,947000,1104024724,1126,51.97
2020-04,Apr'20,31110,512.6,59.0,160,77,83,129,7,189,0,0,0,0,0,analytics,947000,1104024724,1126,54.35
2020-05,May'20,46846,760.8,58.0,236,74,162,163,8,216,0,0,0,0,0,analytics,947000,1104024724,1126,55.64
2020-06,Jun'20,2246956,16644.5,26.0,218,65,153,208,15,256,0,0,0,0,0,analytics,947000,1104024724,1126,96.06
