month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2024-01,Jan'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-02,Feb'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-03,Mar'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-04,Apr'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-05,May'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-06,Jun'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-07,Jul'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-08,Aug'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-09,Sep'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-10,Oct'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-11,Nov'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2024-12,Dec'24,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-01,Jan'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-02,Feb'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-03,Mar'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-04,Apr'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-05,May'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-06,Jun'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-07,Jul'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-08,Aug'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-09,Sep'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-10,Oct'25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-11,Nov'25,0,0.0,0.0,9,0,9,0,0,0,0,0,0,0,0,analytics,2830,302042,35,0.0
2025-12,Dec'25,6879,252.0,131.0,127,9,118,194,29,43,0,0,4,0,4,analytics,2830,302042,35,35.56
2026-01,Jan'26,23102,1038.2,161.0,332,40,292,516,31,119,0,0,3,0,3,analytics,2830,302042,35,42.06
2026-02,Feb'26,9127,323.2,137.0,107,13,94,236,25,45,0,0,4,0,4,analytics,2830,302042,35,30.29
2026-03,Mar'26,55713,2937.4,199.0,571,68,503,1830,121,182,0,0,8,0,8,analytics,2830,302042,35,39.04
2026-04,Apr'26,31045,1742.3,202.0,304,43,261,874,58,82,0,0,4,0,4,analytics,2830,302042,35,36.06
2026-05,May'26,118377,4613.6,141.0,1210,124,1086,3133,193,415,0,0,6,0,6,analytics,2830,302042,35,40.86
2026-06,Jun'26,55668,2406.8,159.0,554,104,450,1733,182,233,0,0,5,1,4,analytics,2830,302042,35,39.66
2026-07,Jul'26,1474,58.5,167.0,15,2,13,46,6,6,0,0,1,0,1,analytics,2830,302042,35,44.15
