month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos
2024-09,Sep'24,5185524,0,0,0,0,0,310433,3268,0,0,0,36,35,1,public,33500,13373596,227
2024-10,Oct'24,1067623,0,0,0,0,0,65501,1013,0,0,0,22,20,2,public,33500,13373596,227
2024-11,Nov'24,1523465,0,0,0,0,0,98359,806,0,0,0,17,16,1,public,33500,13373596,227
2024-12,Dec'24,25228,0,0,0,0,0,1878,38,0,0,0,3,2,1,public,33500,13373596,227
2025-01,Jan'25,607183,0,0,0,0,0,24251,575,0,0,0,21,19,2,public,33500,13373596,227
2025-02,Feb'25,1102102,0,0,0,0,0,69951,581,0,0,0,14,7,7,public,33500,13373596,227
2025-03,Mar'25,1567356,0,0,0,0,0,83916,1348,0,0,0,19,11,8,public,33500,13373596,227
2025-04,Apr'25,818539,0,0,0,0,0,41162,752,0,0,0,9,5,4,public,33500,13373596,227
2026-03,Mar'26,194743,0,0,0,0,0,16707,169,0,0,0,12,2,10,public,33500,13373596,227
2026-04,Apr'26,909485,0,0,0,0,0,55294,1090,0,0,0,22,1,21,public,33500,13373596,227
2026-05,May'26,596432,0,0,0,0,0,34516,892,0,0,0,23,3,20,public,33500,13373596,227
2026-06,Jun'26,952599,0,0,0,0,0,40606,1284,0,0,0,20,7,13,public,33500,13373596,227
2026-07,Jul'26,219568,0,0,0,0,0,7916,345,0,0,0,8,3,5,public,33500,13373596,227
