month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2021-05,May'21,432867,4066.1,33.0,6,0,6,11,0,12,0,0,7,7,0,analytics,3420,21722212,427,98.2
2021-06,Jun'21,2905958,32576.8,40.0,7,1,6,10,1,98,0,0,2,1,1,analytics,3420,21722212,427,85.43
2021-07,Jul'21,3912412,42616.8,39.0,114,7,107,298,15,380,0,0,12,12,0,analytics,3420,21722212,427,82.66
2021-08,Aug'21,3407151,18990.5,20.0,17,1,16,57,1,111,0,0,2,2,0,analytics,3420,21722212,427,98.43
2021-09,Sep'21,7104298,51746.7,26.0,17,1,16,42,2,67,0,0,6,6,0,analytics,3420,21722212,427,97.87
2021-10,Oct'21,2519,16.8,24.0,34,1,33,34,3,56,0,0,2,0,2,analytics,3420,21722212,427,62.57
2021-11,Nov'21,12284,126.2,36.0,25,6,19,37,4,46,0,0,9,8,1,analytics,3420,21722212,427,88.5
2021-12,Dec'21,696149,3348.4,17.0,25,2,23,18,0,25,0,0,2,2,0,analytics,3420,21722212,427,91.47
2022-01,Jan'22,1807329,8665.1,17.0,26,3,23,44,3,69,0,0,3,1,2,analytics,3420,21722212,427,90.41
2022-02,Feb'22,2620688,8746.4,12.0,18,5,13,24,1,33,0,0,14,13,1,analytics,3420,21722212,427,92.06
2022-03,Mar'22,2800289,10244.6,13.0,12,7,5,6,1,13,0,0,1,1,0,analytics,3420,21722212,427,92.3
2022-04,Apr'22,2372650,10121.6,15.0,9,5,4,17,1,15,0,0,23,23,0,analytics,3420,21722212,427,96.66
2022-05,May'22,2376,18.9,28.0,13,7,6,10,1,19,0,0,0,0,0,analytics,3420,21722212,427,60.53
2022-06,Jun'22,59291,603.5,36.0,7,2,5,10,0,10,0,0,1,1,0,analytics,3420,21722212,427,93.92
2022-07,Jul'22,138937,1360.7,35.0,12,1,11,21,0,21,0,0,3,3,0,analytics,3420,21722212,427,93.14
2022-08,Aug'22,89967,922.8,36.0,8,2,6,8,0,12,0,0,2,0,2,analytics,3420,21722212,427,94.54
2022-09,Sep'22,313067,3116.7,35.0,7,1,6,10,1,19,0,0,0,0,0,analytics,3420,21722212,427,95.44
2022-10,Oct'22,323389,3118.4,34.0,8,1,7,8,0,67,0,0,1,1,0,analytics,3420,21722212,427,91.86
