month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2011-02,Feb'11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,analytics,28800,2442757,127,0.0
2011-03,Mar'11,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,analytics,28800,2442757,127,0.0
2011-04,Apr'11,126,0.0,0.0,0,0,0,0,0,0,0,0,6,3,3,analytics,28800,2442757,127,0.0
2011-05,May'11,700,0.0,0.0,1,0,1,0,1,0,0,0,14,1,13,analytics,28800,2442757,127,0.0
2011-06,Jun'11,2639,0.0,0.0,1,0,1,3,0,1,0,0,1,1,0,analytics,28800,2442757,127,0.0
2011-07,Jul'11,8673,0.0,0.0,19,0,19,3,10,1,0,0,1,1,0,analytics,28800,2442757,127,0.0
2011-08,Aug'11,4198,0.0,0.0,9,0,9,0,1,2,0,0,0,0,0,analytics,28800,2442757,127,0.0
2011-09,Sep'11,4856,0.0,0.0,7,0,7,3,0,0,0,0,0,0,0,analytics,28800,2442757,127,0.0
2011-10,Oct'11,7621,0.0,0.0,10,0,10,7,2,5,0,0,0,0,0,analytics,28800,2442757,127,0.0
2011-11,Nov'11,7278,0.0,0.0,15,0,15,5,1,1,0,0,0,0,0,analytics,28800,2442757,127,0.0
2011-12,Dec'11,5994,0.0,0.0,7,0,7,1,2,1,0,0,1,0,1,analytics,28800,2442757,127,0.0
2012-01,Jan'12,11578,0.0,0.0,16,1,15,29,15,24,0,0,4,0,4,analytics,28800,2442757,127,0.0
2012-02,Feb'12,11831,0.0,0.0,22,2,20,17,22,10,0,0,3,0,3,analytics,28800,2442757,127,0.0
2012-03,Mar'12,9440,0.0,0.0,22,5,17,15,16,5,0,0,1,0,1,analytics,28800,2442757,127,0.0
2012-04,Apr'12,5853,0.0,0.0,10,0,10,5,2,0,0,0,0,0,0,analytics,28800,2442757,127,0.0
2012-05,May'12,6345,0.0,0.0,11,2,9,7,5,1,0,0,0,0,0,analytics,28800,2442757,127,0.0
2012-06,Jun'12,20612,0.0,0.0,37,2,35,17,7,5,0,0,1,1,0,analytics,28800,2442757,127,0.0
2012-07,Jul'12,11931,0.0,0.0,24,0,24,7,25,10,0,0,0,0,0,analytics,28800,2442757,127,0.0
2012-08,Aug'12,6992,0.0,0.0,32,1,31,9,4,1,0,0,0,0,0,analytics,28800,2442757,127,0.0
2012-09,Sep'12,7293,147.6,72.0,27,2,25,9,2,3,0,0,0,0,0,analytics,28800,2442757,127,43.87
2012-10,Oct'12,11142,285.5,92.0,35,4,31,19,11,4,0,0,2,0,2,analytics,28800,2442757,127,35.76
2012-11,Nov'12,8548,154.2,64.0,27,3,24,17,6,4,0,0,2,1,1,analytics,28800,2442757,127,46.18
2012-12,Dec'12,7638,124.3,58.0,26,4,22,2,0,1,0,0,0,0,0,analytics,28800,2442757,127,44.87
2013-01,Jan'13,6385,124.0,69.0,36,2,34,9,0,0,0,0,0,0,0,analytics,28800,2442757,127,42.27
2013-02,Feb'13,6648,178.9,96.0,51,2,49,11,4,1,0,0,1,0,1,analytics,28800,2442757,127,40.1
2013-03,Mar'13,6606,169.7,92.0,60,2,58,10,10,0,0,0,0,0,0,analytics,28800,2442757,127,36.38
2013-04,Apr'13,9817,264.6,97.0,108,10,98,32,5,5,0,0,2,0,2,analytics,28800,2442757,127,54.46
2013-05,May'13,13702,490.4,128.0,138,14,124,31,14,2,0,0,1,0,1,analytics,28800,2442757,127,55.29
2013-06,Jun'13,15976,652.7,147.0,110,16,94,16,2,6,0,0,0,0,0,analytics,28800,2442757,127,61.35
2013-07,Jul'13,21052,612.4,104.0,135,21,114,26,7,5,0,0,2,1,1,analytics,28800,2442757,127,58.11
2013-08,Aug'13,18338,406.4,79.0,169,16,153,38,8,2,0,0,2,1,1,analytics,28800,2442757,127,61.8
2013-09,Sep'13,17491,344.6,70.0,158,33,125,44,9,5,0,0,1,0,1,analytics,28800,2442757,127,61.71
2013-10,Oct'13,6457,167.2,93.0,100,15,85,7,0,0,0,0,0,0,0,analytics,28800,2442757,127,53.1
2013-11,Nov'13,5265,144.5,98.0,82,17,65,10,3,5,0,0,1,0,1,analytics,28800,2442757,127,54.93
2013-12,Dec'13,6874,205.4,107.0,109,13,96,13,3,10,0,0,0,0,0,analytics,28800,2442757,127,62.63
2014-01,Jan'14,5356,143.0,96.0,76,16,60,15,0,1,0,0,0,0,0,analytics,28800,2442757,127,55.28
2014-02,Feb'14,4422,128.6,104.0,89,16,73,6,0,1,0,0,0,0,0,analytics,28800,2442757,127,58.02
2014-03,Mar'14,4885,132.6,97.0,89,15,74,13,2,0,0,0,0,0,0,analytics,28800,2442757,127,56.63
2014-04,Apr'14,4570,126.3,99.0,91,12,79,4,1,1,0,0,0,0,0,analytics,28800,2442757,127,57.39
2014-05,May'14,4637,130.2,101.0,85,16,69,7,0,3,0,0,0,0,0,analytics,28800,2442757,127,56.07
2014-06,Jun'14,4646,133.7,103.0,62,17,45,5,1,1,0,0,0,0,0,analytics,28800,2442757,127,56.49
2014-07,Jul'14,4734,139.8,106.0,94,16,78,8,1,0,0,0,0,0,0,analytics,28800,2442757,127,56.25
2014-08,Aug'14,6515,192.0,106.0,107,14,93,9,1,0,0,0,0,0,0,analytics,28800,2442757,127,55.73
2014-09,Sep'14,4868,136.8,101.0,89,18,71,5,0,1,0,0,0,0,0,analytics,28800,2442757,127,54.61
2014-10,Oct'14,4849,132.8,98.0,89,15,74,4,0,1,0,0,0,0,0,analytics,28800,2442757,127,55.83
2014-11,Nov'14,4997,142.4,102.0,81,17,64,10,2,2,0,0,1,1,0,analytics,28800,2442757,127,55.34
2014-12,Dec'14,4686,125.2,96.0,83,23,60,1,2,1,0,0,0,0,0,analytics,28800,2442757,127,57.99
2015-01,Jan'15,7807,177.6,81.0,85,11,74,15,3,2,0,0,2,1,1,analytics,28800,2442757,127,62.25
2015-02,Feb'15,5450,129.6,85.0,70,11,59,8,3,1,0,0,0,0,0,analytics,28800,2442757,127,60.11
2015-03,Mar'15,5678,144.5,91.0,78,22,56,13,0,4,0,0,1,1,0,analytics,28800,2442757,127,57.86
2015-04,Apr'15,10466,378.0,130.0,136,16,120,35,5,11,0,0,1,0,1,analytics,28800,2442757,127,51.31
2015-05,May'15,20005,806.3,145.0,258,23,235,56,12,31,0,0,0,0,0,analytics,28800,2442757,127,47.54
2015-06,Jun'15,16503,523.0,114.0,192,21,171,41,40,22,0,0,1,0,1,analytics,28800,2442757,127,50.71
2015-07,Jul'15,13694,450.9,118.0,179,20,159,38,9,19,0,0,0,0,0,analytics,28800,2442757,127,48.86
2015-08,Aug'15,13852,462.0,120.0,167,12,155,37,2,25,0,0,0,0,0,analytics,28800,2442757,127,46.29
2015-09,Sep'15,10811,346.1,115.0,140,17,123,25,5,20,0,0,0,0,0,analytics,28800,2442757,127,46.56
2015-10,Oct'15,10280,310.3,108.0,157,20,137,24,7,15,0,0,0,0,0,analytics,28800,2442757,127,44.91
2015-11,Nov'15,9546,292.8,110.0,132,23,109,25,12,11,0,0,0,0,0,analytics,28800,2442757,127,44.7
2015-12,Dec'15,56910,605.7,38.0,203,20,183,52,6,36,0,0,1,1,0,analytics,28800,2442757,127,61.8
2016-01,Jan'16,22392,380.5,61.0,173,24,149,29,2,12,0,0,0,0,0,analytics,28800,2442757,127,51.4
2016-02,Feb'16,15725,445.2,101.0,195,23,172,84,2,44,0,0,1,0,1,analytics,28800,2442757,127,55.1
2016-03,Mar'16,16229,416.8,92.0,201,26,175,77,4,50,0,0,0,0,0,analytics,28800,2442757,127,54.21
2016-04,Apr'16,12957,343.4,95.0,166,22,144,60,1,32,0,0,0,0,0,analytics,28800,2442757,127,51.46
2016-05,May'16,13488,352.2,94.0,173,23,150,51,1,55,0,0,0,0,0,analytics,28800,2442757,127,53.83
2016-06,Jun'16,12007,317.4,95.0,151,22,129,32,4,35,0,0,0,0,0,analytics,28800,2442757,127,53.03
2016-07,Jul'16,19481,387.2,71.0,174,29,145,59,7,51,0,0,2,1,1,analytics,28800,2442757,127,58.01
2016-08,Aug'16,19191,400.2,75.0,167,16,151,45,2,42,0,0,0,0,0,analytics,28800,2442757,127,57.31
2016-09,Sep'16,19716,376.6,68.0,210,29,181,67,5,59,0,0,0,0,0,analytics,28800,2442757,127,57.0
2016-10,Oct'16,18153,382.7,75.0,176,21,155,55,2,53,0,0,0,0,0,analytics,28800,2442757,127,53.18
2016-11,Nov'16,20484,429.5,75.0,178,42,136,62,5,66,0,0,0,0,0,analytics,28800,2442757,127,54.68
2016-12,Dec'16,22706,473.0,74.0,227,48,179,68,3,61,0,0,0,0,0,analytics,28800,2442757,127,54.32
